dataset,n_queries,alpha_mean,alpha_median,alpha_std,alpha_iqr,dist_from_0.5,bm25_ndcg,dense_ndcg,oracle_ndcg
hotpotqa,7405,0.4429,0.5,0.3752,0.79,0.0,0.6663,0.433,0.745
dbpedia-entity,400,0.4331,0.435,0.3568,0.7,0.065,0.3501,0.3551,0.4775
trec-covid,50,0.5438,0.61,0.3511,0.6875,0.11,0.4202,0.4036,0.4989
arguana,1406,0.2982,0.12,0.3437,0.6,0.38,0.41,0.4214,0.5183
nfcorpus,323,0.2753,0.09,0.335,0.5,0.41,0.2801,0.3215,0.3786
fever,6666,0.2148,0.01,0.3253,0.39,0.49,0.5445,0.5432,0.76
climate-fever,1535,0.2124,0.0,0.3108,0.385,0.5,0.1914,0.2946,0.3761
scidocs,1000,0.2068,0.03,0.2952,0.36,0.47,0.2235,0.3366,0.3747
msmarco,43,0.3453,0.29,0.2828,0.345,0.21,0.4575,0.5853,0.6653
webis-touche2020,49,0.801,0.91,0.2411,0.32,0.41,0.4517,0.306,0.4943
scifact,300,0.1808,0.0,0.3104,0.2525,0.5,0.7047,0.6891,0.8133
nq,3452,0.1511,0.0,0.2649,0.17,0.5,0.3563,0.555,0.6796
fiqa,648,0.1105,0.0,0.2248,0.08,0.5,0.3147,0.5656,0.6322
quora,10000,0.0743,0.0,0.1936,0.0,0.5,0.8257,0.8876,0.9426
