dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
arguana,test-environment-aeghhgwpe-pro02a,0.0,1.0,0.6309297535714575,1.0,1
arguana,test-environment-aeghhgwpe-pro01a,0.91,0.5,0.43067655807339306,0.2559580248098155,1
arguana,test-environment-aeghhgwpe-pro03a,0.5,0.6309297535714575,0.6309297535714575,0.43067655807339306,1
arguana,test-environment-aeghhgwpe-pro04a,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
arguana,test-environment-aeghhgwpe-con02a,0.0,1.0,0.6309297535714575,1.0,1
arguana,test-environment-aeghhgwpe-con03a,0.26,0.5,0.43067655807339306,0.38685280723454163,1
arguana,test-environment-aeghhgwpe-con01a,0.17,0.3562071871080222,0.27023815442731974,0.3333333333333333,1
arguana,test-environment-assgbatj-pro02a,0.9,0.3562071871080222,0.3562071871080222,0.1965616322328226,1
arguana,test-environment-assgbatj-pro05a,0.06,0.2559580248098155,0.20184908658209985,0.25,1
arguana,test-environment-assgbatj-pro01a,0.06,0.5,0.27894294565112987,0.3562071871080222,1
arguana,test-environment-assgbatj-pro03a,0.57,0.5,0.5,0.27894294565112987,1
arguana,test-environment-assgbatj-pro04a,0.0,0.5,0.27894294565112987,0.5,1
arguana,test-environment-assgbatj-con02a,0.08,0.38685280723454163,0.3333333333333333,0.31546487678572877,1
arguana,test-environment-assgbatj-con05a,0.0,0.23137821315975915,0.18665241123894338,0.23137821315975915,1
arguana,test-environment-assgbatj-con04a,0.0,0.5,0.38685280723454163,0.5,1
arguana,test-environment-assgbatj-con03a,0.56,0.5,0.43067655807339306,0.3333333333333333,1
arguana,test-environment-assgbatj-con01a,0.93,0.2890648263178879,0.2890648263178879,0.18316925091363362,1
arguana,test-environment-aiahwagit-pro02a,0.6,0.6309297535714575,0.43067655807339306,0.43067655807339306,1
arguana,test-environment-aiahwagit-pro05a,0.51,0.27023815442731974,0.27023815442731974,0.2559580248098155,1
arguana,test-environment-aiahwagit-pro01a,0.81,0.31546487678572877,0.31546487678572877,0.21810429198553155,1
arguana,test-environment-aiahwagit-pro03a,0.21,0.5,0.38685280723454163,0.43067655807339306,1
arguana,test-environment-aiahwagit-pro04a,0.0,0.6309297535714575,0.23981246656813146,0.6309297535714575,1
arguana,test-environment-aiahwagit-con02a,0.51,0.6309297535714575,0.43067655807339306,0.5,1
arguana,test-environment-aiahwagit-con04a,0.0,0.3562071871080222,0.31546487678572877,0.3562071871080222,1
arguana,test-environment-aiahwagit-con03a,0.95,0.5,0.5,0.227670248696953,1
arguana,test-environment-aiahwagit-con01a,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
arguana,test-environment-ehwsnwu-pro02a,0.84,0.3333333333333333,0.31546487678572877,0.3010299956639812,1
arguana,test-environment-ehwsnwu-pro01a,0.89,0.3010299956639812,0.3010299956639812,0.27023815442731974,1
arguana,test-environment-ehwsnwu-con02a,0.84,0.38685280723454163,0.38685280723454163,0.2559580248098155,1
arguana,test-environment-ehwsnwu-con03a,0.13,0.5,0.5,0.43067655807339306,1
arguana,test-environment-ehwsnwu-con01a,0.6,0.25,0.25,0.24465054211822604,1
arguana,test-environment-chbwtlgcc-pro02a,0.0,0.6309297535714575,0.5,0.6309297535714575,1
arguana,test-environment-chbwtlgcc-pro01a,0.0,0.38685280723454163,0.27894294565112987,0.38685280723454163,1
arguana,test-environment-chbwtlgcc-pro03a,0.03,0.5,0.3333333333333333,0.43067655807339306,1
arguana,test-environment-chbwtlgcc-pro04a,0.0,0.43067655807339306,0.1854490234153689,0.43067655807339306,1
arguana,test-environment-chbwtlgcc-con02a,0.88,0.6309297535714575,0.6309297535714575,0.3010299956639812,1
arguana,test-environment-chbwtlgcc-con03a,0.02,0.5,0.22106472945750374,0.43067655807339306,1
arguana,test-environment-chbwtlgcc-con01a,0.0,0.38685280723454163,0.26264953503719357,0.38685280723454163,1
arguana,test-environment-opecewiahw-pro02a,0.12,1.0,0.5,0.5,1
arguana,test-environment-opecewiahw-pro01a,0.64,0.27023815442731974,0.2559580248098155,0.22424382421757544,1
arguana,test-environment-opecewiahw-pro03a,0.8,0.38685280723454163,0.38685280723454163,0.27023815442731974,1
arguana,test-environment-opecewiahw-pro04a,0.11,0.43067655807339306,0.21533827903669653,0.38685280723454163,1
arguana,test-environment-opecewiahw-con02a,0.96,0.38685280723454163,0.38685280723454163,0.20184908658209985,1
arguana,test-environment-opecewiahw-con04a,0.0,0.6309297535714575,0.0,0.6309297535714575,1
arguana,test-environment-opecewiahw-con03a,0.06,0.20584683246043448,0.2037950470905062,0.2037950470905062,1
arguana,test-environment-opecewiahw-con01a,0.22,0.5,0.3562071871080222,0.3333333333333333,1
arguana,test-health-hdond-pro02a,0.1,0.38685280723454163,0.3562071871080222,0.3562071871080222,1
arguana,test-health-hdond-pro01a,0.0,0.5,0.5,0.5,1
arguana,test-health-hdond-pro03a,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
arguana,test-health-hdond-pro04a,0.15,0.6309297535714575,0.6309297535714575,0.5,1
arguana,test-health-hdond-con02a,0.0,0.3562071871080222,0.18790182470910757,0.3562071871080222,1
arguana,test-health-hdond-con04a,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
arguana,test-health-hdond-con03a,0.25,0.43067655807339306,0.3333333333333333,0.3562071871080222,1
arguana,test-health-hdond-con01a,0.67,0.6309297535714575,0.6309297535714575,0.38685280723454163,1
