dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
climate-fever,0,0.0,0.6715263515506075,0.45886249508309274,0.6715263515506075,4
climate-fever,5,0.96,0.22560754347578907,0.22560754347578907,0.0,3
climate-fever,6,0.0,0.6309297535714575,0.3333333333333333,0.6309297535714575,1
climate-fever,9,0.0,0.12011565579805131,0.0,0.12011565579805131,3
climate-fever,10,0.0,0.561520918381929,0.07682358143005112,0.561520918381929,3
climate-fever,11,0.82,0.6915499984247109,0.36177224359836585,0.0859574327152926,3
climate-fever,14,0.67,1.0,1.0,0.8315546295836225,2
climate-fever,18,0.03,0.38685280723454163,0.12376320080008647,0.2640681225725909,2
climate-fever,19,0.0,0.24137438512729467,0.0,0.24137438512729467,3
climate-fever,21,0.04,0.46927872602275644,0.46927872602275644,0.23463936301137822,3
climate-fever,27,0.0,0.6131471927654584,0.29704713377474795,0.6131471927654584,2
climate-fever,28,0.0,0.0,0.0,0.0,4
climate-fever,30,0.98,0.6257049680303419,0.617319681505689,0.5435090429417783,3
climate-fever,31,0.0,0.07821312100379274,0.0,0.07821312100379274,3
climate-fever,33,0.65,0.4670485956091204,0.4332721598073825,0.2599133792960374,4
climate-fever,35,0.82,0.8175295903539445,0.5525485729997712,0.2947962848678046,2
climate-fever,36,0.05,0.7653606369886217,0.2101557141872362,0.4776237035032179,3
climate-fever,38,0.0,0.18327746927002433,0.07159544811153871,0.18327746927002433,3
climate-fever,41,0.0,0.10107784002417343,0.0,0.10107784002417343,2
climate-fever,42,0.47,0.8179809735263114,0.41083809051751535,0.6766805511020831,3
climate-fever,44,0.0,0.3794502619073723,0.0,0.3794502619073723,2
climate-fever,51,0.32,0.28389573029273685,0.07335312372354855,0.25276465678388094,4
climate-fever,55,0.0,0.23981246656813146,0.0,0.23981246656813146,1
climate-fever,57,0.34,1.0,1.0,0.6309297535714575,1
climate-fever,60,0.0,0.5070738082812791,0.0,0.5070738082812791,3
climate-fever,61,0.0,0.0,0.0,0.0,3
climate-fever,65,0.13,0.6049306994552042,0.2960819109658652,0.43734888382569426,3
climate-fever,67,0.0,0.10253313861822189,0.0,0.10253313861822189,4
climate-fever,69,0.0,1.0,0.5,1.0,1
climate-fever,71,0.0,0.46927872602275644,0.46927872602275644,0.46927872602275644,3
climate-fever,72,0.0,0.0,0.0,0.0,3
climate-fever,74,0.0,0.4944141925105191,0.0,0.4944141925105191,2
climate-fever,75,0.0,0.0,0.0,0.0,3
climate-fever,76,0.0,0.09566387803065432,0.0,0.09566387803065432,2
climate-fever,77,0.91,0.07211025423636115,0.07211025423636115,0.0,3
climate-fever,79,0.0,0.5758476109355528,0.0,0.5758476109355528,4
climate-fever,82,0.13,0.2796993437616699,0.21719635216206462,0.26016721661596814,3
climate-fever,85,0.09,0.6131471927654584,0.38685280723454163,0.3065735963827292,2
climate-fever,86,0.48,0.3786893371105732,0.26155136066037454,0.23219040730096055,4
climate-fever,87,0.05,0.22307666882043997,0.07847428227110642,0.16654996794150392,5
climate-fever,91,0.0,0.0,0.0,0.0,4
climate-fever,93,0.0,0.0,0.0,0.0,1
climate-fever,95,0.3,0.2864430051931298,0.11230971199864632,0.2614857426404722,2
climate-fever,96,0.89,0.8503449055347546,0.5802792108518124,0.34475909804527366,2
climate-fever,97,0.0,0.16716045496620227,0.0,0.16716045496620227,3
climate-fever,98,0.52,0.38685280723454163,0.20438239758848611,0.09905728133858463,2
climate-fever,99,0.0,0.19265960538865526,0.0,0.19265960538865526,3
climate-fever,100,0.0,0.3699398687681718,0.0,0.3699398687681718,5
climate-fever,101,0.0,0.2427550429554846,0.0,0.2427550429554846,2
climate-fever,102,0.26,0.7653606369886217,0.3330093366687448,0.2589078126251713,3
climate-fever,103,0.24,0.48177558511430957,0.2640681225725909,0.2750800523476804,2
climate-fever,104,0.08,0.09992090652113537,0.060133839167249854,0.09759501249802542,4
