dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
dbpedia-entity,INEX_LD-2009022,0.35,0.04149506862881255,0.026599917879850693,0.021226904203087756,35
dbpedia-entity,INEX_LD-2009039,0.4,0.4026306736375656,0.3026896033565588,0.3363949178981123,139
dbpedia-entity,INEX_LD-2009053,0.87,0.6373823013280926,0.5307026783843779,0.5677845947723713,26
dbpedia-entity,INEX_LD-2009061,0.31,0.2576110720022358,0.1980477802921922,0.21263136528318946,64
dbpedia-entity,INEX_LD-2009062,0.43,0.5058675134138596,0.3499959145862994,0.4156476503764237,19
dbpedia-entity,INEX_LD-2009063,0.23,0.5132782428167748,0.35925052298980614,0.48523785302796657,155
dbpedia-entity,INEX_LD-2009074,0.73,0.6174629357418464,0.3394416846554592,0.4945749040513923,21
dbpedia-entity,INEX_LD-2009115,0.82,0.6821987894533158,0.6655441840877884,0.41175876884801144,47
dbpedia-entity,INEX_LD-2010004,0.04,0.32690725828726236,0.18436014393031494,0.3168196846976792,131
dbpedia-entity,INEX_LD-2010014,0.99,0.32184493259870395,0.32184493259870395,0.0,25
dbpedia-entity,INEX_LD-2010019,0.56,0.5052900029827698,0.4010959871054357,0.17176174358980048,10
dbpedia-entity,INEX_LD-2010020,0.16,0.5831030820096459,0.15078144713882766,0.5339903416381162,22
dbpedia-entity,INEX_LD-2010037,0.96,0.6375776855678671,0.5998254843286248,0.34135850301774034,23
dbpedia-entity,INEX_LD-2010043,0.0,0.11910647932175053,0.10166166795332034,0.11910647932175053,77
dbpedia-entity,INEX_LD-2010057,0.06,0.5965158926068828,0.46406012404252067,0.5503853653854359,59
dbpedia-entity,INEX_LD-2010069,0.95,0.15518743314716849,0.1388957883951395,0.07999366476613261,327
dbpedia-entity,INEX_LD-2010100,0.11,0.20407506365433514,0.06885873147108759,0.17992015933929145,9
dbpedia-entity,INEX_LD-2010106,0.23,0.6443353960648212,0.19021493722645777,0.5148250190969555,16
dbpedia-entity,INEX_LD-20120111,0.16,0.30192841704903867,0.21158336464718117,0.23285189104637383,50
dbpedia-entity,INEX_LD-20120121,0.0,0.11298794646359667,0.022891290452740205,0.11298794646359667,11
dbpedia-entity,INEX_LD-20120122,0.14,0.24180787179959146,0.1281820259529009,0.13865938616333284,8
dbpedia-entity,INEX_LD-20120131,0.7,0.7052915335546092,0.666879772441077,0.3904842012443789,38
dbpedia-entity,INEX_LD-20120211,0.04,0.7649618291545104,0.6323406125408416,0.7387746268748774,46
dbpedia-entity,INEX_LD-20120221,0.95,0.5665169985480883,0.5607910408427407,0.4287416589790438,70
dbpedia-entity,INEX_LD-20120231,0.0,0.5277154412363099,0.05911963004335771,0.5277154412363099,10
dbpedia-entity,INEX_LD-20120232,0.34,0.31281657026472853,0.11289156185632529,0.309216372258324,47
dbpedia-entity,INEX_LD-20120311,0.95,0.4053221788435913,0.3860078773616711,0.2641894496379774,28
dbpedia-entity,INEX_LD-20120312,0.03,0.5362213156966373,0.2613522792365291,0.5226877578746945,26
dbpedia-entity,INEX_LD-20120321,0.41,0.5686617747364814,0.3837350301358492,0.4418899888991578,59
dbpedia-entity,INEX_LD-20120331,0.29,0.7250887770240089,0.5656527431300739,0.6767953845284504,25
dbpedia-entity,INEX_LD-20120332,0.3,0.8663982565552044,0.6378872069471528,0.8131659744131912,32
dbpedia-entity,INEX_LD-20120411,0.76,0.18852123058298867,0.17262645522933884,0.10995164311236684,133
dbpedia-entity,INEX_LD-20120412,0.22,0.2156050398245899,0.06655036980657039,0.21084867641564015,23
dbpedia-entity,INEX_LD-20120421,0.31,0.07994251159051144,0.03997125579525572,0.03025030386721263,9
dbpedia-entity,INEX_LD-20120422,0.15,0.04882681692050302,0.03707529172600019,0.03279387514420893,17
dbpedia-entity,INEX_LD-20120431,0.0,0.11100575998665047,0.0,0.11100575998665047,2
dbpedia-entity,INEX_LD-20120511,0.86,0.21183738532688187,0.19685378947168092,0.15878878387168477,168
dbpedia-entity,INEX_LD-20120512,0.06,0.3071791660194374,0.17718674949766933,0.28135472927262334,104
dbpedia-entity,INEX_LD-20120521,0.61,0.4328706334490575,0.32715019052304595,0.389417664829814,73
dbpedia-entity,INEX_LD-20120522,0.75,0.458700586945225,0.3919736429265453,0.3438370107633948,30
dbpedia-entity,INEX_LD-20120531,0.75,0.7661632981323274,0.7111098810921654,0.5077284634841313,39
dbpedia-entity,INEX_LD-20120532,0.74,0.42574780504429904,0.4097667216701257,0.30652830457982994,41
dbpedia-entity,INEX_LD-2012301,0.19,0.7202115491897796,0.2877278431450508,0.6660018500047737,6
dbpedia-entity,INEX_LD-2012303,0.55,0.49818925746641285,0.4367467095119258,0.23463936301137822,3
dbpedia-entity,INEX_LD-2012305,0.4,0.7249626265798417,0.48946381522593885,0.5787742235786925,12
dbpedia-entity,INEX_LD-2012309,0.69,0.2587671272850914,0.13645547035815808,0.17517718320514147,4
dbpedia-entity,INEX_LD-2012311,0.99,0.5240822322619787,0.5095599554189288,0.37432030581839465,26
dbpedia-entity,INEX_LD-2012313,0.99,0.9506318516035811,0.9506318516035811,0.2915486102817535,8
dbpedia-entity,INEX_LD-2012315,0.08,0.29853600027156413,0.12956010076991872,0.2432454587806764,5
dbpedia-entity,INEX_LD-2012317,0.98,0.8184236157631495,0.8184236157631495,0.1653406828088402,3
dbpedia-entity,INEX_LD-2012318,0.99,0.44724267966059467,0.44724267966059467,0.3458613235833203,6
dbpedia-entity,INEX_LD-2012319,0.81,0.8498826279262289,0.7951208738549657,0.5906567011604035,5
dbpedia-entity,INEX_LD-2012321,0.51,0.5139204998661585,0.26630525411635353,0.37505564916687706,9
dbpedia-entity,INEX_LD-2012323,0.37,0.20575790145345108,0.14331153014931725,0.1895440879473846,16
dbpedia-entity,INEX_LD-2012325,0.8,0.44149241373678083,0.25651520246291565,0.16038354439671085,4
dbpedia-entity,INEX_LD-2012327,0.84,0.10585172236148352,0.10585172236148352,0.0,11
dbpedia-entity,INEX_LD-2012329,0.99,0.6135017053446356,0.6135017053446356,0.5118814340974667,12
dbpedia-entity,INEX_LD-2012331,0.96,0.3923614770345279,0.39180077328296486,0.3391602052736161,5
dbpedia-entity,INEX_LD-2012333,0.59,0.7100015486964274,0.3890812866454196,0.44319456060899726,13
dbpedia-entity,INEX_LD-2012335,0.0,0.23665119200880103,0.0,0.23665119200880103,4
dbpedia-entity,INEX_LD-2012337,0.96,0.5489573765559506,0.5489573765559506,0.21398626473452756,5
dbpedia-entity,INEX_LD-2012339,0.55,0.36295948561480806,0.31357519429858793,0.04582425041433568,9
