dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
fever,163803,0.02,0.40627642657241075,0.1710330840677181,0.3637709527622724,2
fever,70041,0.0,1.0,0.38685280723454163,1.0,1
fever,202314,0.03,1.0,0.6309297535714575,0.6309297535714575,1
fever,6032,0.0,0.6309297535714575,0.5,0.6309297535714575,1
fever,130048,0.04,0.6309297535714575,0.17376534287144002,0.5,1
fever,204575,0.29,0.8772153153380493,0.45560514958746035,0.8065735963827293,2
fever,164883,0.02,1.0,0.6309297535714575,0.6309297535714575,1
fever,54298,0.0,0.7078310149613259,0.6131471927654584,0.7078310149613259,2
fever,219675,0.0,0.6309297535714575,0.16485085672216038,0.6309297535714575,1
fever,134850,0.0,0.0,0.0,0.0,1
fever,124578,0.0,1.0,1.0,1.0,1
fever,134126,0.02,1.0,1.0,0.5,1
fever,125577,0.72,0.1781035935540111,0.1781035935540111,0.0,1
fever,46810,0.0,0.0,0.0,0.0,1
fever,85923,0.0,0.6309297535714575,0.3333333333333333,0.6309297535714575,1
fever,1933,0.0,1.0,0.24465054211822604,1.0,1
fever,88894,0.01,0.9197207891481876,0.6131471927654584,0.6934264036172708,2
fever,58396,0.0,1.0,1.0,1.0,1
fever,150751,0.7,0.3333333333333333,0.3333333333333333,0.0,1
fever,179831,0.95,1.0,1.0,0.15561139140249397,1
fever,7429,0.05,1.0,1.0,0.43067655807339306,1
fever,11538,0.06,0.43067655807339306,0.38685280723454163,0.38685280723454163,1
fever,19068,0.0,1.0,1.0,1.0,1
fever,175438,0.0,1.0,1.0,1.0,1
fever,80212,0.0,1.0,1.0,1.0,1
fever,118448,0.98,1.0,1.0,0.0,1
fever,106308,0.0,0.5,0.0,0.5,1
fever,83527,0.0,1.0,1.0,1.0,1
fever,119227,0.67,1.0,0.43067655807339306,0.5,1
fever,8404,0.96,0.7631539858737962,0.7631539858737962,0.0,2
fever,85093,0.0,1.0,0.26264953503719357,1.0,1
fever,89521,0.62,0.2890648263178879,0.2890648263178879,0.0,1
fever,35804,0.0,0.5,0.15292486830283214,0.5,1
fever,132874,0.06,0.3333333333333333,0.25,0.2890648263178879,1
fever,75311,0.0,1.0,1.0,1.0,1
fever,195244,0.05,1.0,0.9197207891481876,0.8503449055347546,2
fever,69108,0.9,0.3562071871080222,0.3333333333333333,0.19823986317056053,1
fever,211019,0.67,0.5,0.43067655807339306,0.27023815442731974,1
fever,44397,0.0,0.18790182470910757,0.0,0.18790182470910757,1
fever,52287,0.15,0.43067655807339306,0.26264953503719357,0.3562071871080222,1
fever,2961,0.0,1.0,1.0,1.0,1
fever,162206,0.0,1.0,1.0,1.0,1
