dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
nfcorpus,PLAIN-2,0.63,0.808025745003113,0.7874763063250834,0.6714181627879754,24
nfcorpus,PLAIN-12,0.2,0.3029992288143483,0.07060396962790728,0.30089440432226017,30
nfcorpus,PLAIN-23,0.74,0.3215290269846143,0.31185909965685954,0.2950300896409373,90
nfcorpus,PLAIN-33,0.04,0.35858627887063904,0.14537431615339924,0.35779947067213635,32
nfcorpus,PLAIN-44,0.0,0.3576450482019191,0.23238510204434534,0.3576450482019191,58
nfcorpus,PLAIN-56,0.0,0.5385225746259497,0.38460114417513636,0.5385225746259497,50
nfcorpus,PLAIN-68,0.37,0.4054755368938135,0.31971829618087866,0.37028195233940087,55
nfcorpus,PLAIN-78,0.78,0.10982117682443004,0.09535703776530165,0.07099239909960571,62
nfcorpus,PLAIN-91,0.25,0.5281740868679247,0.4296510015181384,0.4258535385122184,64
nfcorpus,PLAIN-102,0.03,0.4146042487555787,0.1037984956527094,0.3254722964024736,24
nfcorpus,PLAIN-112,0.0,0.36639760959378664,0.25335725711533386,0.36639760959378664,56
nfcorpus,PLAIN-123,0.46,0.19409813405406223,0.07287965182076762,0.17078214294852956,51
nfcorpus,PLAIN-133,0.04,0.3710071646575741,0.04422312679647284,0.3709630123056998,36
nfcorpus,PLAIN-143,0.07,0.47146509669015824,0.285072226539574,0.47063100654999496,51
nfcorpus,PLAIN-153,0.38,0.6152049747240419,0.4620038242652164,0.5861468804562779,47
nfcorpus,PLAIN-165,0.0,0.4048875927014959,0.31909356091828495,0.4048875927014959,36
nfcorpus,PLAIN-175,0.94,0.24351942116366732,0.2343749564861232,0.21990952318505758,37
nfcorpus,PLAIN-186,0.0,0.16667028230157466,0.06313912973468082,0.16667028230157466,24
nfcorpus,PLAIN-196,0.5,0.22822813743616518,0.1980880837508692,0.19726792523467557,69
nfcorpus,PLAIN-207,0.11,0.4119528358667607,0.33037034361130335,0.40531837103065244,55
nfcorpus,PLAIN-217,0.0,0.2278551275709833,0.015134170917274625,0.2278551275709833,36
nfcorpus,PLAIN-227,1.0,0.05688647497208646,0.05688647497208646,0.0,40
nfcorpus,PLAIN-238,0.0,0.07449117871597696,0.04206992589580974,0.07449117871597696,54
nfcorpus,PLAIN-248,0.81,0.3739288858142937,0.3605110132181409,0.36741521776517033,31
nfcorpus,PLAIN-259,0.98,0.3604966316376168,0.3604966316376168,0.32255742933126963,14
nfcorpus,PLAIN-270,0.03,0.2350601304478073,0.19649099787741645,0.2348934038333715,52
nfcorpus,PLAIN-280,0.24,0.47939963085504395,0.42099667634474014,0.4681296558209241,20
nfcorpus,PLAIN-291,0.19,0.4709337998379727,0.3458187904700732,0.3866970184777485,13
nfcorpus,PLAIN-307,0.08,1.0,0.34487339117079985,0.6462302129493455,3
nfcorpus,PLAIN-320,0.02,0.15899081170186027,0.09592611235508611,0.15895506597097392,42
nfcorpus,PLAIN-332,0.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,2
nfcorpus,PLAIN-344,0.09,0.3655521157551634,0.20402047291226094,0.3407895988685009,61
