dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
nq,test0,0.02,0.5311931216172628,0.4789416804032336,0.5287217091005357,2
nq,test1,0.0,1.0,0.3333333333333333,1.0,1
nq,test2,0.5,1.0,1.0,0.5,1
nq,test3,0.95,0.3378624949709328,0.33052608497541236,0.14186890186599416,2
nq,test4,0.0,1.0,0.6309297535714575,1.0,1
nq,test5,0.03,0.38685280723454163,0.22424382421757544,0.3562071871080222,1
nq,test6,0.02,0.6131471927654584,0.23719771276929622,0.38685280723454163,2
nq,test7,0.0,0.31546487678572877,0.19342640361727081,0.31546487678572877,1
nq,test8,0.0,1.0,0.0,1.0,1
nq,test9,0.0,1.0,0.6309297535714575,1.0,1
nq,test10,0.17,1.0,0.25,0.38685280723454163,1
nq,test11,0.05,0.6309297535714575,0.22106472945750374,0.43067655807339306,1
nq,test12,0.04,0.25,0.16155546744299637,0.24465054211822604,1
nq,test13,0.17,1.0,1.0,0.5,1
nq,test14,0.0,1.0,0.6309297535714575,1.0,1
nq,test15,0.58,1.0,1.0,0.23981246656813146,1
nq,test16,0.0,1.0,0.22424382421757544,1.0,1
nq,test17,0.0,0.6934264036172708,0.09468382219586766,0.6934264036172708,2
nq,test18,0.0,0.3562071871080222,0.0,0.3562071871080222,1
nq,test19,0.0,0.6934264036172708,0.5525485729997712,0.6934264036172708,2
nq,test20,0.0,1.0,1.0,1.0,1
nq,test21,0.0,0.27894294565112987,0.0,0.27894294565112987,1
nq,test22,0.91,0.5,0.5,0.227670248696953,1
nq,test23,0.0,0.6309297535714575,0.38685280723454163,0.6309297535714575,1
nq,test24,0.0,0.0,0.0,0.0,1
nq,test25,0.77,0.435101206640309,0.435101206640309,0.29762711257408586,2
nq,test26,0.19,1.0,1.0,0.43067655807339306,1
nq,test27,0.0,0.1686130986895011,0.0,0.1686130986895011,1
nq,test28,0.51,0.5338931479009518,0.3065735963827292,0.5249810332008933,2
nq,test29,0.0,1.0,0.31546487678572877,1.0,1
nq,test30,0.06,0.9197207891481876,0.7631539858737962,0.48247555939075504,2
nq,test31,0.0,1.0,0.16427204996205025,1.0,1
nq,test32,0.0,0.8503449055347546,0.19342640361727081,0.8503449055347546,2
nq,test33,0.67,0.6309297535714575,0.6309297535714575,0.43067655807339306,1
nq,test34,0.0,1.0,1.0,1.0,1
nq,test35,0.0,0.38685280723454163,0.2559580248098155,0.38685280723454163,1
nq,test36,0.0,0.0,0.0,0.0,1
nq,test37,0.0,0.3333333333333333,0.0,0.3333333333333333,1
nq,test38,0.0,0.38685280723454163,0.0,0.38685280723454163,1
nq,test39,0.48,0.31546487678572877,0.27894294565112987,0.2559580248098155,1
nq,test40,0.0,1.0,0.7550160946314525,1.0,2
nq,test41,0.05,0.43067655807339306,0.24465054211822604,0.38685280723454163,1
nq,test42,0.09,1.0,0.21533827903669653,0.43067655807339306,1
nq,test43,0.0,0.38685280723454163,0.31546487678572877,0.38685280723454163,1
nq,test44,0.29,0.3333333333333333,0.22424382421757544,0.27894294565112987,1
nq,test45,0.0,0.2103099178571525,0.1505149978319906,0.2103099178571525,1
nq,test46,0.0,0.1810425967800402,0.0,0.1810425967800402,1
nq,test47,0.0,1.0,0.1605440854340214,1.0,1
nq,test48,0.02,1.0,0.33533380532897417,0.9197207891481876,2
nq,test49,0.0,0.23540891336663824,0.16544255391905832,0.23540891336663824,1
nq,test50,0.07,0.9469024295259745,0.30533932792592466,0.9010126104210695,3
nq,test51,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
nq,test52,0.0,0.3010299956639812,0.0,0.3010299956639812,1
nq,test53,0.21,1.0,0.6309297535714575,0.5,1
nq,test54,0.0,0.8315546295836225,0.0,0.8315546295836225,2
nq,test55,0.0,0.0,0.0,0.0,1
nq,test56,0.0,0.7903864795495061,0.09421735421367533,0.7903864795495061,2
nq,test57,0.17,1.0,1.0,0.6309297535714575,1
nq,test58,0.5,1.0,0.6309297535714575,0.5,1
nq,test59,0.0,1.0,0.0,1.0,1
nq,test60,0.0,1.0,1.0,1.0,1
nq,test61,0.02,0.42976388833782037,0.2385225406322207,0.4028934785345258,2
nq,test62,0.0,1.0,0.6309297535714575,1.0,1
nq,test63,0.0,1.0,1.0,1.0,1
nq,test64,0.34,1.0,1.0,0.6309297535714575,1
nq,test65,0.0,0.7469115759480561,0.0,0.7469115759480561,3
nq,test66,0.0,1.0,0.27023815442731974,1.0,1
nq,test67,0.0,1.0,0.2,1.0,1
nq,test68,0.08,0.38685280723454163,0.27894294565112987,0.31546487678572877,1
nq,test69,0.05,0.6309297535714575,0.43067655807339306,0.3562071871080222,1
nq,test70,0.04,1.0,0.21810429198553155,0.5,1
nq,test71,0.0,0.6309297535714575,0.0,0.6309297535714575,1
nq,test72,0.0,0.227670248696953,0.0,0.227670248696953,1
nq,test73,0.0,0.16370565544521565,0.0,0.16370565544521565,1
nq,test74,0.02,1.0,0.31546487678572877,0.6309297535714575,1
nq,test75,0.0,1.0,0.25,1.0,1
nq,test76,0.0,1.0,0.1729696904450771,1.0,1
nq,test77,0.0,0.5,0.2890648263178879,0.5,1
nq,test78,0.03,0.6309297535714575,0.17144160057391347,0.5,1
nq,test79,0.0,1.0,0.31546487678572877,1.0,1
nq,test80,0.92,0.3010299956639812,0.27894294565112987,0.18920035951687003,1
nq,test81,0.0,1.0,0.2559580248098155,1.0,1
nq,test82,0.0,1.0,0.3010299956639812,1.0,1
nq,test83,0.97,0.3333333333333333,0.3333333333333333,0.0,1
nq,test84,0.48,0.43067655807339306,0.27023815442731974,0.27023815442731974,1
nq,test85,0.29,1.0,1.0,0.43067655807339306,1
nq,test86,0.0,0.38685280723454163,0.0,0.38685280723454163,1
nq,test87,0.0,0.23540891336663824,0.0,0.23540891336663824,1
nq,test88,0.0,0.5,0.0,0.5,1
nq,test89,0.66,0.29647127075717805,0.16569576576522954,0.24503024198944656,2
nq,test90,0.0,0.2103099178571525,0.0,0.2103099178571525,1
nq,test91,0.0,0.1686130986895011,0.0,0.1686130986895011,1
nq,test92,0.44,0.2559580248098155,0.23540891336663824,0.19195872000656014,1
nq,test93,0.42,0.47503113615138287,0.31227803394446507,0.40444986675769323,3
nq,test94,0.0,0.6309297535714575,0.0,0.6309297535714575,1
nq,test95,0.4,0.3010299956639812,0.1810425967800402,0.18920035951687003,1
nq,test96,0.0,0.1729696904450771,0.0,0.1729696904450771,1
nq,test97,0.77,0.6309297535714575,0.5,0.2559580248098155,1
nq,test98,0.0,1.0,0.0,1.0,1
nq,test99,0.0,1.0,0.0,1.0,1
nq,test100,0.0,0.3333333333333333,0.0,0.3333333333333333,1
nq,test101,0.82,0.3562071871080222,0.31546487678572877,0.24465054211822604,1
nq,test102,0.0,0.22106472945750374,0.0,0.22106472945750374,1
nq,test103,0.0,1.0,0.11953857697847461,1.0,2
nq,test104,0.04,0.5,0.23137821315975915,0.38685280723454163,1
nq,test105,0.67,0.5,0.43067655807339306,0.3562071871080222,1
nq,test106,0.03,1.0,0.3333333333333333,0.6309297535714575,1
nq,test107,0.36,0.43067655807339306,0.27023815442731974,0.27894294565112987,1
nq,test108,0.0,0.5,0.0,0.5,1
nq,test109,0.0,1.0,0.3562071871080222,1.0,1
nq,test110,0.0,1.0,0.23540891336663824,1.0,1
nq,test111,0.0,0.5,0.17542506358195453,0.5,1
nq,test112,0.0,1.0,0.0,1.0,1
nq,test113,0.0,0.34884439777899506,0.16104282508920814,0.34884439777899506,2
nq,test114,0.0,1.0,0.38685280723454163,1.0,1
nq,test115,0.98,0.16427204996205025,0.16427204996205025,0.0,1
nq,test116,0.05,0.6309297535714575,0.21274605355336318,0.5,1
nq,test117,0.0,1.0,1.0,1.0,1
nq,test118,0.0,1.0,0.3333333333333333,1.0,1
nq,test119,0.0,1.0,0.456580389491067,1.0,2
nq,test120,0.69,0.7291548620734427,0.3427788596071778,0.2614857426404722,2
nq,test121,0.0,1.0,0.0,1.0,1
nq,test122,0.0,1.0,0.27894294565112987,1.0,1
nq,test123,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
nq,test124,0.0,1.0,1.0,1.0,1
nq,test125,0.58,0.6309297535714575,0.43067655807339306,0.3333333333333333,1
nq,test126,0.03,1.0,0.43067655807339306,0.5,1
nq,test127,0.02,1.0,1.0,0.5,1
nq,test128,0.0,1.0,1.0,1.0,1
nq,test129,0.0,0.19195872000656014,0.0,0.19195872000656014,1
nq,test130,0.89,0.3065735963827292,0.3065735963827292,0.09874414971201788,2
nq,test131,0.0,0.23981246656813146,0.0,0.23981246656813146,1
nq,test132,0.0,0.6309297535714575,0.3333333333333333,0.6309297535714575,1
nq,test133,0.0,1.0,0.16155546744299637,1.0,1
nq,test134,0.0,1.0,0.0,1.0,1
nq,test135,0.0,1.0,0.3562071871080222,1.0,1
nq,test136,0.17,0.38685280723454163,0.24465054211822604,0.3333333333333333,1
nq,test137,0.0,0.43067655807339306,0.0,0.43067655807339306,1
nq,test138,0.34,0.6309297535714575,0.2559580248098155,0.38685280723454163,1
nq,test139,0.17,0.7406907593850465,0.2764785213564045,0.7308461430643314,2
nq,test140,0.0,1.0,0.3333333333333333,1.0,1
nq,test141,0.0,0.3941376571472261,0.1710330840677181,0.3941376571472261,2
nq,test142,0.11,1.0,0.2890648263178879,0.6309297535714575,1
nq,test143,0.34,1.0,1.0,0.43067655807339306,1
nq,test144,0.67,0.24465054211822604,0.21274605355336318,0.18316925091363362,1
nq,test145,0.0,1.0,0.3333333333333333,1.0,1
nq,test146,0.21,1.0,0.3333333333333333,0.38685280723454163,1
nq,test147,0.34,1.0,1.0,0.6309297535714575,1
nq,test148,0.0,1.0,1.0,1.0,1
nq,test149,0.28,1.0,1.0,0.5912352048230277,2
nq,test150,0.0,0.5437927516124715,0.3397773477559137,0.5437927516124715,2
nq,test151,0.0,1.0,1.0,1.0,1
nq,test152,0.0,0.6309297535714575,0.0,0.6309297535714575,1
nq,test153,0.0,1.0,0.23312471345746963,1.0,2
nq,test154,0.69,1.0,0.3333333333333333,0.23981246656813146,1
nq,test155,0.0,0.5,0.20584683246043448,0.5,1
nq,test156,0.0,0.43067655807339306,0.0,0.43067655807339306,1
nq,test157,0.0,0.0,0.0,0.0,1
nq,test158,0.13,0.6309297535714575,0.43067655807339306,0.5,1
nq,test159,0.0,0.0,0.0,0.0,2
nq,test160,0.0,0.6052602440527057,0.0,0.6052602440527057,2
nq,test161,0.0,0.3562071871080222,0.0,0.3562071871080222,1
nq,test162,0.0,1.0,1.0,1.0,1
nq,test163,0.02,0.6797310500037655,0.6797310500037655,0.6653497124326151,3
nq,test164,0.63,1.0,0.6309297535714575,0.2559580248098155,1
nq,test165,0.0,1.0,0.6131471927654584,1.0,2
nq,test166,0.02,1.0,0.43067655807339306,0.6309297535714575,1
nq,test167,0.05,0.6934264036172708,0.4227898344066503,0.6052602440527057,2
nq,test168,0.0,1.0,0.0,1.0,1
nq,test169,0.84,0.5,0.43067655807339306,0.23137821315975915,1
nq,test170,0.89,0.5437713091520254,0.45749452618986164,0.2818347856967185,2
nq,test171,0.1,0.43067655807339306,0.23137821315975915,0.38685280723454163,1
nq,test172,0.0,1.0,1.0,1.0,1
nq,test173,0.0,0.38685280723454163,0.0,0.38685280723454163,1
nq,test174,0.15,0.2890648263178879,0.2037950470905062,0.25,1
nq,test175,0.0,1.0,0.1854490234153689,1.0,1
nq,test176,0.0,0.38685280723454163,0.0,0.38685280723454163,1
nq,test177,0.0,0.38685280723454163,0.0,0.38685280723454163,1
nq,test178,0.0,0.6934264036172708,0.0,0.6934264036172708,2
nq,test179,0.0,1.0,0.2890648263178879,1.0,1
nq,test180,0.0,1.0,0.24465054211822604,1.0,1
nq,test181,0.41,1.0,1.0,0.5,1
nq,test182,0.0,1.0,0.21274605355336318,1.0,1
nq,test183,0.0,1.0,0.9197207891481876,1.0,2
nq,test184,0.94,0.18790182470910757,0.18790182470910757,0.0,1
nq,test185,0.11,0.6309297535714575,0.31546487678572877,0.43067655807339306,1
nq,test186,0.0,1.0,0.23981246656813146,1.0,1
nq,test187,0.0,1.0,1.0,1.0,1
nq,test188,0.0,1.0,1.0,1.0,1
nq,test189,0.06,0.6309297535714575,0.16666666666666666,0.5,1
nq,test190,0.61,0.5,0.43067655807339306,0.26264953503719357,1
nq,test191,0.0,0.6309297535714575,0.26264953503719357,0.6309297535714575,1
nq,test192,0.0,0.8772153153380493,0.7066919148891846,0.8772153153380493,2
nq,test193,0.0,0.3333333333333333,0.0,0.3333333333333333,1
nq,test194,0.06,1.0,0.5,0.5,1
nq,test195,0.23,1.0,1.0,0.43067655807339306,1
nq,test196,0.0,1.0,0.27023815442731974,1.0,1
nq,test197,0.0,1.0,0.0,1.0,1
nq,test198,0.0,0.0,0.0,0.0,2
nq,test199,0.0,1.0,0.0,1.0,1
nq,test200,0.0,1.0,1.0,1.0,1
nq,test201,0.0,0.0,0.0,0.0,2
nq,test202,0.0,1.0,0.23137821315975915,1.0,1
nq,test203,0.6,0.6309297535714575,0.6309297535714575,0.43067655807339306,1
nq,test204,0.0,0.22106472945750374,0.0,0.22106472945750374,1
nq,test205,0.67,0.8315546295836225,0.5912352048230277,0.5802792108518124,2
nq,test206,0.29,1.0,0.31546487678572877,0.43067655807339306,1
nq,test207,0.75,0.5,0.22424382421757544,0.2103099178571525,1
nq,test208,0.0,0.6309297535714575,0.0,0.6309297535714575,1
nq,test209,0.0,1.0,0.3562071871080222,1.0,1
nq,test210,0.61,0.43067655807339306,0.26264953503719357,0.227670248696953,1
nq,test211,0.0,0.20801459767650948,0.0,0.20801459767650948,1
nq,test212,0.13,0.4370182418909037,0.2670987052191175,0.3577189257782478,2
nq,test213,0.05,1.0,0.23540891336663824,0.6309297535714575,1
nq,test214,0.03,0.5,0.2559580248098155,0.43067655807339306,1
nq,test215,0.71,0.31546487678572877,0.27023815442731974,0.18665241123894338,1
nq,test216,0.04,0.9197207891481876,0.48381288316677695,0.8503449055347546,2
nq,test217,0.0,0.6309297535714575,0.15292486830283214,0.6309297535714575,1
nq,test218,0.03,0.5437927516124715,0.3309208749312681,0.5368596003428795,2
nq,test219,0.0,0.43067655807339306,0.0,0.43067655807339306,1
nq,test220,0.0,0.0,0.0,0.0,1
nq,test221,0.0,0.9197207891481876,0.5714285040141098,0.9197207891481876,2
nq,test222,0.67,0.5578858913022597,0.4421188146690532,0.289458966565316,2
nq,test223,0.14,0.11164668500969883,0.09468382219586766,0.11100575998665047,2
nq,test224,0.0,0.27023815442731974,0.0,0.27023815442731974,1
nq,test225,0.0,1.0,0.43067655807339306,1.0,1
nq,test226,0.98,0.23540891336663824,0.23540891336663824,0.0,1
nq,test227,0.06,1.0,0.3562071871080222,0.6309297535714575,1
