dataset,fusion,n,alpha_mean,alpha_median,alpha_std,alpha_iqr,frac_lexical,frac_dense
hotpotqa,score-minmax,7405,0.3398,0.34,0.2983,0.57,0.038,0.337
hotpotqa,rrf,7405,0.3745,0.31,0.358,0.71,0.112,0.39
hotpotqa,borda,7405,0.4219,0.23,0.4299,0.94,0.284,0.449
nfcorpus,score-minmax,323,0.2467,0.04,0.3171,0.45,0.065,0.533
nfcorpus,rrf,323,0.255,0.05,0.3275,0.48,0.056,0.545
nfcorpus,borda,323,0.2543,0.01,0.3688,0.5,0.13,0.619
fever,score-minmax,6666,0.2247,0.1,0.2685,0.42,0.018,0.495
fever,rrf,6666,0.2403,0.05,0.319,0.47,0.059,0.561
fever,borda,6666,0.2516,0.02,0.3592,0.5,0.122,0.6
scifact,score-minmax,300,0.1218,0.0,0.2281,0.16,0.007,0.727
scifact,rrf,300,0.1541,0.0,0.2775,0.19,0.027,0.707
scifact,borda,300,0.1554,0.0,0.2901,0.15,0.04,0.73
fiqa,score-minmax,648,0.1152,0.0,0.199,0.19,0.003,0.688
fiqa,rrf,648,0.1038,0.0,0.1987,0.11,0.008,0.739
fiqa,borda,648,0.0902,0.0,0.2155,0.03,0.02,0.816
quora,score-minmax,10000,0.0623,0.0,0.171,0.0,0.009,0.848
quora,rrf,10000,0.0712,0.0,0.1854,0.0,0.005,0.843
quora,borda,10000,0.0691,0.0,0.1895,0.0,0.009,0.857
