dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
scifact,1,0.0,0.3333333333333333,0.0,0.3333333333333333,1
scifact,3,0.34,1.0,1.0,0.43067655807339306,1
scifact,5,0.03,1.0,1.0,0.43067655807339306,1
scifact,13,0.0,0.2890648263178879,0.0,0.2890648263178879,1
scifact,36,0.1,0.5525485729997712,0.32392097456696073,0.4722693621479587,2
scifact,42,0.04,1.0,0.6309297535714575,0.6309297535714575,1
scifact,48,0.95,0.6309297535714575,0.6309297535714575,0.23540891336663824,1
scifact,49,0.0,1.0,1.0,1.0,1
scifact,50,0.0,1.0,1.0,1.0,1
scifact,51,0.0,1.0,1.0,1.0,1
scifact,53,0.0,1.0,1.0,1.0,1
scifact,54,0.0,1.0,0.5,1.0,1
scifact,56,0.0,1.0,1.0,1.0,1
scifact,57,0.0,1.0,1.0,1.0,1
scifact,70,0.0,1.0,1.0,1.0,2
scifact,72,0.0,1.0,1.0,1.0,1
scifact,75,0.0,1.0,0.6309297535714575,1.0,1
scifact,94,0.85,1.0,1.0,0.15256487060115928,1
scifact,99,0.0,1.0,1.0,1.0,1
scifact,100,0.0,1.0,1.0,1.0,1
scifact,113,0.0,1.0,1.0,1.0,1
scifact,115,0.0,1.0,1.0,1.0,1
scifact,118,0.0,1.0,1.0,1.0,1
scifact,124,0.0,1.0,1.0,1.0,1
scifact,127,0.0,1.0,0.6309297535714575,1.0,1
scifact,128,0.97,0.5,0.5,0.0,1
scifact,129,0.0,1.0,1.0,1.0,1
scifact,130,0.0,1.0,1.0,1.0,1
scifact,132,0.95,0.15643778834207153,0.15643778834207153,0.0,1
scifact,133,0.25,0.9303863211094884,0.44241293062121156,0.8360187880082642,5
scifact,137,0.0,1.0,1.0,1.0,1
scifact,141,0.72,1.0,0.9197207891481876,0.8175295903539445,2
scifact,142,0.0,1.0,1.0,1.0,1
scifact,143,0.0,1.0,1.0,1.0,1
scifact,146,0.0,1.0,1.0,1.0,1
scifact,148,0.12,1.0,1.0,0.6309297535714575,1
scifact,163,0.0,1.0,1.0,1.0,1
scifact,171,0.0,1.0,1.0,1.0,1
scifact,179,0.0,0.9828920819566879,0.7807630961934954,0.9828920819566879,4
scifact,180,0.0,1.0,1.0,1.0,1
scifact,183,0.0,1.0,0.6309297535714575,1.0,1
scifact,185,0.07,1.0,0.43067655807339306,0.6309297535714575,1
scifact,198,0.98,1.0,1.0,0.0,1
scifact,208,0.0,1.0,1.0,1.0,1
scifact,212,0.26,0.5,0.27894294565112987,0.43067655807339306,1
scifact,213,0.0,0.5,0.3562071871080222,0.5,1
scifact,216,0.0,1.0,1.0,1.0,1
scifact,217,0.0,1.0,1.0,1.0,1
scifact,218,0.0,1.0,1.0,1.0,1
scifact,219,0.0,1.0,1.0,1.0,1
scifact,230,0.0,1.0,1.0,1.0,1
scifact,232,0.0,1.0,0.5,1.0,1
scifact,233,0.0,1.0,1.0,1.0,1
scifact,236,0.0,1.0,1.0,1.0,1
scifact,237,0.0,1.0,1.0,1.0,1
scifact,238,0.02,1.0,0.27023815442731974,0.6309297535714575,1
scifact,239,0.06,0.6309297535714575,0.23540891336663824,0.3333333333333333,1
scifact,248,0.0,1.0,1.0,1.0,1
scifact,249,0.0,1.0,1.0,1.0,1
scifact,261,0.1,0.48247555939075504,0.45749452618986164,0.4415801103577823,2
scifact,268,0.56,1.0,0.6309297535714575,0.31546487678572877,1
scifact,269,0.9,1.0,0.6309297535714575,0.27023815442731974,1
scifact,274,0.0,1.0,1.0,1.0,1
scifact,275,0.0,0.8710785440003369,0.6695086688701349,0.8710785440003369,3
scifact,279,0.0,1.0,1.0,1.0,1
scifact,294,0.87,1.0,0.6309297535714575,0.18920035951687003,1
scifact,295,0.5,1.0,1.0,0.6309297535714575,1
scifact,298,0.67,1.0,1.0,0.5,1
scifact,300,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
scifact,303,0.56,0.38685280723454163,0.23981246656813146,0.3562071871080222,1
scifact,312,0.96,0.3562071871080222,0.3562071871080222,0.0,1
scifact,314,0.09,0.5,0.5,0.3562071871080222,1
scifact,324,0.59,0.23137821315975915,0.23137821315975915,0.0,1
scifact,327,0.0,1.0,1.0,1.0,1
scifact,338,0.0,1.0,1.0,1.0,1
scifact,343,0.51,0.6934264036172708,0.5706417189553201,0.5706417189553201,2
scifact,350,0.0,1.0,1.0,1.0,1
scifact,354,0.0,1.0,1.0,1.0,1
scifact,362,0.0,1.0,1.0,1.0,1
scifact,380,0.41,1.0,1.0,0.5,1
scifact,384,0.07,0.43067655807339306,0.20184908658209985,0.3333333333333333,1
scifact,385,0.0,0.6934264036172708,0.6240505200038379,0.6934264036172708,2
scifact,386,0.0,1.0,1.0,1.0,1
scifact,388,0.0,0.6309297535714575,0.5,0.6309297535714575,1
scifact,399,0.0,1.0,1.0,1.0,1
scifact,410,0.0,1.0,1.0,1.0,1
scifact,411,0.0,1.0,1.0,1.0,1
scifact,415,0.9,0.3562071871080222,0.3333333333333333,0.227670248696953,1
scifact,421,0.0,0.16485085672216038,0.0,0.16485085672216038,1
scifact,431,0.0,0.43067655807339306,0.0,0.43067655807339306,1
scifact,436,0.0,1.0,1.0,1.0,1
scifact,437,0.0,0.0,0.0,0.0,1
scifact,439,0.01,1.0,0.6309297535714575,0.6309297535714575,1
scifact,440,0.0,1.0,0.6309297535714575,1.0,1
scifact,443,0.0,1.0,1.0,1.0,1
scifact,452,0.0,0.2640681225725909,0.10107784002417343,0.2640681225725909,2
scifact,475,0.08,0.38685280723454163,0.25,0.31546487678572877,1
scifact,478,0.0,1.0,0.6309297535714575,1.0,1
scifact,491,0.0,1.0,1.0,1.0,1
scifact,501,0.0,1.0,1.0,1.0,1
scifact,502,0.0,0.1631512196835108,0.0,0.1631512196835108,1
scifact,507,0.25,0.6309297535714575,0.6309297535714575,0.5,1
scifact,508,0.16,0.27894294565112987,0.16730017881017412,0.27023815442731974,1
scifact,513,0.0,1.0,0.6309297535714575,1.0,1
scifact,514,0.0,1.0,0.31546487678572877,1.0,1
scifact,516,0.0,1.0,1.0,1.0,1
scifact,517,0.45,0.6309297535714575,0.3010299956639812,0.3010299956639812,1
scifact,521,0.0,1.0,1.0,1.0,1
scifact,525,0.0,1.0,1.0,1.0,1
scifact,527,0.1,0.6309297535714575,0.6309297535714575,0.43067655807339306,1
scifact,528,0.0,1.0,1.0,1.0,1
scifact,532,0.0,1.0,1.0,1.0,1
scifact,533,0.0,1.0,1.0,1.0,1
scifact,535,0.0,0.5,0.0,0.5,1
scifact,536,0.0,1.0,1.0,1.0,1
scifact,539,0.0,1.0,1.0,1.0,1
scifact,540,0.0,0.5437927516124715,0.31142773762580966,0.5437927516124715,2
scifact,544,0.21,0.3562071871080222,0.23540891336663824,0.26264953503719357,1
scifact,549,0.0,1.0,1.0,1.0,1
scifact,551,0.0,0.6309297535714575,0.5,0.6309297535714575,1
scifact,552,0.0,1.0,1.0,1.0,1
scifact,554,0.74,0.3333333333333333,0.31546487678572877,0.20584683246043448,1
scifact,560,0.0,0.15817959093978226,0.0,0.15817959093978226,1
scifact,569,0.76,1.0,1.0,0.38685280723454163,1
scifact,575,0.03,1.0,1.0,0.43067655807339306,1
scifact,577,0.88,1.0,0.38685280723454163,0.3010299956639812,1
scifact,578,0.0,1.0,1.0,1.0,1
scifact,587,0.83,0.38685280723454163,0.3562071871080222,0.15909880786929415,1
scifact,589,0.0,1.0,1.0,1.0,1
scifact,593,0.0,1.0,1.0,1.0,1
scifact,597,0.95,0.9217868789962071,0.9217868789962071,0.3780763409953935,3
scifact,598,0.95,0.3333333333333333,0.3333333333333333,0.23981246656813146,1
scifact,613,0.0,1.0,1.0,1.0,1
scifact,619,0.41,0.746877227126485,0.21840743681816419,0.2762212005711149,2
scifact,623,0.67,0.3010299956639812,0.26264953503719357,0.26264953503719357,1
scifact,628,0.0,1.0,0.3562071871080222,1.0,1
scifact,636,0.0,0.6309297535714575,0.43067655807339306,0.6309297535714575,1
scifact,637,0.5,1.0,1.0,0.5,1
scifact,641,0.5,0.9197207891481876,0.766433990956823,0.8772153153380493,2
scifact,644,0.0,1.0,1.0,1.0,1
scifact,649,0.0,1.0,0.6309297535714575,1.0,1
scifact,659,0.86,1.0,1.0,0.15084420062289414,1
scifact,660,0.95,1.0,1.0,0.0,1
scifact,674,0.5,1.0,1.0,0.5,1
scifact,684,0.0,1.0,1.0,1.0,1
scifact,690,0.25,1.0,0.27023815442731974,0.22106472945750374,1
scifact,691,0.95,1.0,1.0,0.23137821315975915,1
scifact,692,0.0,1.0,1.0,1.0,1
scifact,693,0.0,1.0,1.0,1.0,1
scifact,700,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
scifact,702,0.0,0.6309297535714575,0.5,0.6309297535714575,1
scifact,715,0.13,1.0,0.2559580248098155,0.26264953503719357,1
scifact,716,0.0,0.21810429198553155,0.0,0.21810429198553155,1
scifact,718,0.0,1.0,0.5,1.0,1
scifact,721,0.0,1.0,1.0,1.0,1
scifact,723,0.0,1.0,1.0,1.0,1
scifact,727,0.76,0.6309297535714575,0.5,0.3562071871080222,1
scifact,728,0.08,0.8503449055347546,0.5249810332008933,0.8175295903539445,2
scifact,729,0.0,1.0,0.6309297535714575,1.0,1
scifact,742,0.12,1.0,1.0,0.43067655807339306,1
scifact,743,0.77,1.0,1.0,0.19342640361727081,1
scifact,744,0.26,0.6309297535714575,0.6309297535714575,0.5,1
scifact,756,0.0,0.43067655807339306,0.31546487678572877,0.43067655807339306,1
scifact,759,0.0,1.0,0.6309297535714575,1.0,1
scifact,768,0.85,0.31546487678572877,0.31546487678572877,0.0,1
scifact,770,0.0,1.0,1.0,1.0,1
scifact,775,0.11,0.24465054211822604,0.16427204996205025,0.23981246656813146,1
scifact,781,0.0,1.0,0.6309297535714575,1.0,1
scifact,783,0.49,0.3562071871080222,0.27894294565112987,0.23981246656813146,1
scifact,784,0.0,1.0,1.0,1.0,1
scifact,785,0.98,0.6309297535714575,0.6309297535714575,0.0,1
scifact,793,0.88,1.0,1.0,0.31546487678572877,1
scifact,800,0.0,1.0,0.22106472945750374,1.0,1
scifact,805,0.0,1.0,1.0,1.0,1
scifact,808,0.0,1.0,1.0,1.0,1
scifact,811,0.0,1.0,1.0,1.0,1
scifact,814,0.0,1.0,1.0,1.0,1
scifact,820,0.0,0.18003132665669264,0.0,0.18003132665669264,1
scifact,821,0.0,0.17376534287144002,0.0,0.17376534287144002,1
scifact,823,0.0,1.0,1.0,1.0,1
scifact,830,0.67,0.3562071871080222,0.3333333333333333,0.2559580248098155,1
scifact,831,0.72,0.3010299956639812,0.25,0.19342640361727081,1
scifact,832,0.0,1.0,1.0,1.0,1
scifact,834,0.69,0.1810425967800402,0.1810425967800402,0.0,1
scifact,837,0.0,1.0,1.0,1.0,1
scifact,839,0.34,1.0,1.0,0.6309297535714575,1
scifact,845,0.88,1.0,1.0,0.2890648263178879,1
scifact,847,0.0,1.0,1.0,1.0,1
scifact,852,0.4,0.6309297535714575,0.6309297535714575,0.5,1
scifact,859,0.34,0.6309297535714575,0.6309297535714575,0.43067655807339306,1
scifact,870,0.0,0.5,0.0,0.5,1
scifact,873,0.2,0.6853144206713327,0.3346207488254496,0.4646755691409982,5
scifact,879,0.0,1.0,1.0,1.0,1
scifact,880,0.0,1.0,1.0,1.0,1
scifact,882,0.0,1.0,1.0,1.0,1
scifact,887,0.69,0.43067655807339306,0.227670248696953,0.2,1
scifact,903,0.0,1.0,1.0,1.0,1
scifact,904,0.0,1.0,1.0,1.0,1
scifact,907,0.0,1.0,1.0,1.0,1
scifact,911,0.0,1.0,1.0,1.0,1
scifact,913,0.0,0.1810425967800402,0.0,0.1810425967800402,1
scifact,914,0.0,0.23981246656813146,0.0,0.23981246656813146,1
scifact,921,0.0,1.0,1.0,1.0,1
scifact,922,0.0,1.0,1.0,1.0,1
scifact,936,0.51,1.0,1.0,0.6309297535714575,1
scifact,956,0.0,1.0,0.5,1.0,1
scifact,957,0.6,1.0,1.0,0.43067655807339306,1
scifact,960,0.0,1.0,1.0,1.0,1
scifact,967,0.41,1.0,0.9197207891481876,0.5249810332008933,2
scifact,971,0.5,0.8485833840018,0.6955762265703532,0.7486761295186739,4
scifact,975,0.0,0.15561139140249397,0.0,0.15561139140249397,1
scifact,982,0.0,1.0,1.0,1.0,1
scifact,985,0.0,1.0,1.0,1.0,1
scifact,993,0.34,1.0,1.0,0.6309297535714575,1
scifact,1012,0.0,1.0,1.0,1.0,1
