dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
trec-covid,1,0.68,0.08911447301235238,0.08384198260662204,0.05495436410264964,637
trec-covid,2,0.99,0.3273433418023041,0.3201704661157118,0.11978126226753572,314
trec-covid,3,0.83,0.3451782470103971,0.335230115283306,0.16375637793620007,628
trec-covid,4,0.26,0.20639263380458492,0.10011627150734803,0.17702088277859945,529
trec-covid,5,0.69,0.36838432528886583,0.3478811294173207,0.21818675922560404,614
trec-covid,6,0.17,0.4412655046083487,0.35499074169808936,0.35516277436983873,959
trec-covid,7,1.0,0.6111103191977587,0.6111103191977587,0.4517739710626508,481
trec-covid,8,0.8,0.4291546385964629,0.40321107023297664,0.30761656270208665,632
trec-covid,9,0.18,0.2498396416556377,0.15937387059105587,0.22336173059153294,191
trec-covid,10,0.53,0.5865953376719081,0.5305286821071401,0.4553660722213866,475
trec-covid,11,0.66,0.26984002295989656,0.24805568224408978,0.09491597156027111,415
trec-covid,12,0.59,0.21255777514097968,0.17904703551629783,0.1442275887908381,616
trec-covid,13,0.94,0.43260170535003384,0.4116103036845271,0.06952529581021803,867
trec-covid,14,0.83,0.5461543637577407,0.5218527018175485,0.25752853241759627,255
trec-covid,15,0.0,0.10392998334469761,0.07630071402312276,0.10392998334469761,423
trec-covid,16,0.0,0.5524886722724097,0.19981042903631,0.5524886722724097,387
trec-covid,17,0.3,0.4348621359957265,0.3484411909614802,0.3996939547417026,668
trec-covid,18,0.12,0.6195145709125127,0.5220896062952297,0.612798941931048,628
trec-covid,19,0.29,0.3792231384978584,0.30194298670654013,0.3307767804926494,111
trec-covid,20,0.13,0.8609107312074041,0.7497091049453455,0.8456828539628783,702
trec-covid,21,0.86,0.47151250432312625,0.467553356440456,0.29757590507017295,630
trec-covid,22,0.99,0.6344104573658698,0.6344104573658698,0.4108554978115562,546
trec-covid,23,0.54,0.6041239110653702,0.48316034181948203,0.5905075820844846,371
trec-covid,24,0.63,0.662723206594619,0.628027560810225,0.4512027895111272,404
trec-covid,25,0.02,0.4624850309758823,0.23640722394607233,0.435284585276792,529
trec-covid,26,1.0,0.38664581245445856,0.38664581245445856,0.21092264341950417,778
trec-covid,27,0.48,0.5040187205168888,0.33468384492723796,0.4664969934377305,849
trec-covid,28,0.95,0.7568118977723144,0.7417471171629846,0.5665968015367079,551
trec-covid,29,0.93,0.5900757695789354,0.5737855910047724,0.4364813826326685,604
trec-covid,30,0.86,0.8250845364035558,0.7964041908823565,0.7319927656035543,370
trec-covid,31,0.66,0.18026397001409802,0.17227735910659364,0.06979182714937116,353
trec-covid,32,0.98,0.07136847078758195,0.07136847078758195,0.007236235447768941,216
trec-covid,33,0.97,0.37672724883528425,0.37574347364684857,0.2523078011111122,281
trec-covid,34,0.93,0.1510458810628146,0.14140271916529717,0.1090840165131974,172
trec-covid,35,0.86,0.39424747125300746,0.37431273313756097,0.1472182327198963,218
trec-covid,36,0.87,0.8333933522074362,0.8169126622773025,0.5665278477327144,611
trec-covid,37,0.53,0.535815622508986,0.5198522960600284,0.4757764112598702,450
trec-covid,38,0.99,0.5932743098948978,0.5932743098948978,0.5521149909570792,1266
trec-covid,39,0.15,0.8209303011277967,0.7546582736257186,0.7982284068849625,860
trec-covid,40,0.69,0.9127694632298701,0.8705359649940648,0.844244438310299,556
trec-covid,41,0.07,0.7961426990774589,0.6016047860175346,0.7791440967687082,311
trec-covid,42,0.0,0.9597158500736901,0.6526296682546479,0.9597158500736901,243
trec-covid,43,0.51,0.71034614703967,0.5634769909929072,0.6263222542632471,253
trec-covid,44,0.0,0.7892187763206123,0.4042756373116396,0.7892187763206123,483
trec-covid,45,0.47,0.49231479692480035,0.4617216586381768,0.4300583181747421,806
trec-covid,46,0.09,0.4947456697520447,0.338414765034789,0.4864836004551662,182
trec-covid,47,0.64,0.3659767537775082,0.29874947503248195,0.3226772318646913,420
trec-covid,48,0.16,0.7404233294383711,0.44509131452909806,0.7139872069583423,444
trec-covid,49,0.24,0.39564703302194637,0.27602983956025395,0.3613646153167469,247
trec-covid,50,0.13,0.36573683847133354,0.18766900861643154,0.35361959144447824,137
