dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
webis-touche2020,1,0.45,0.8097663073448441,0.6197275384084693,0.7006093362113642,11
webis-touche2020,2,0.99,0.6955064820835294,0.695369104825263,0.577485933156797,12
webis-touche2020,3,0.6,0.3684259555296775,0.2467352204862546,0.07254318036625601,6
webis-touche2020,4,0.95,0.73448323538827,0.7214876018467404,0.5528318610351982,20
webis-touche2020,5,0.99,0.4695321246483362,0.4695321246483362,0.2879143895534619,16
webis-touche2020,6,0.55,0.6497172006232182,0.4893295223833959,0.5274640039083255,13
webis-touche2020,7,0.74,0.49493325612064176,0.44491357841173035,0.20491392941007086,23
webis-touche2020,8,0.95,0.023391369700475017,0.023391369700475017,0.0,31
webis-touche2020,9,1.0,0.23955819242645787,0.23955819242645787,0.056913510847083064,32
webis-touche2020,10,0.87,0.43245336593708034,0.3314211409094697,0.22114128726931917,26
webis-touche2020,11,0.99,0.5243180713834539,0.5243180713834539,0.3298715400619272,22
webis-touche2020,12,0.62,0.1677404553642665,0.11818756768803663,0.11694733620121411,13
webis-touche2020,13,0.8,0.4811372465272284,0.4549883356235783,0.3610682642618037,18
webis-touche2020,14,0.4,0.5082649905926198,0.46451630850752607,0.40137987928497737,19
webis-touche2020,15,0.98,0.2589395578967254,0.24890881621253352,0.16291343658067528,27
webis-touche2020,16,0.26,0.6747581520224569,0.4977556099978375,0.6238166969547836,14
webis-touche2020,17,0.92,0.15040461508293726,0.14963733481981498,0.07205955630424178,26
webis-touche2020,18,0.58,0.7576051374118532,0.6378996182400681,0.5156267140616876,16
webis-touche2020,19,0.91,0.10641867963081546,0.10641867963081546,0.03258813737787164,26
webis-touche2020,20,0.12,0.4198722390828446,0.3248701200768834,0.4114396198726431,17
webis-touche2020,21,0.99,0.44246417568884455,0.44246417568884455,0.09765281129938257,23
webis-touche2020,22,0.94,0.3182583054855514,0.2868551283297247,0.2535791435744447,15
webis-touche2020,23,0.83,0.27859294254803135,0.2460230723426755,0.12233743862555321,27
webis-touche2020,24,0.94,0.34247574289007726,0.3415105809545982,0.08605034428846169,17
webis-touche2020,26,0.81,0.3959162517765097,0.39574377887172235,0.26914058899861737,23
webis-touche2020,27,0.67,0.28591542919513363,0.2553212147980277,0.06646837754439974,26
webis-touche2020,28,0.99,0.19738606731337574,0.19738606731337574,0.049432311332587076,24
webis-touche2020,29,0.98,0.39748690559415617,0.39347927385242615,0.1594395071896167,28
webis-touche2020,30,0.98,0.5493287592914433,0.5493287592914433,0.1434505680271308,19
webis-touche2020,31,0.94,0.6589949889502351,0.6132196476748114,0.39192819400476764,16
webis-touche2020,32,0.89,0.9184301578812333,0.6860376376051537,0.8073104289137923,7
webis-touche2020,33,0.99,0.5137809934507496,0.5137809934507496,0.29352981135517264,28
webis-touche2020,34,0.99,0.4848982918565916,0.4848982918565916,0.2449761507114515,23
webis-touche2020,35,0.57,0.3294949072994898,0.3286862971345486,0.14665484398853215,24
webis-touche2020,36,0.79,0.5451203814236155,0.5437282561121112,0.3921732308822808,21
webis-touche2020,37,0.76,0.7827911851307523,0.7626368937982105,0.5747012206512598,7
webis-touche2020,38,0.99,0.47811805564016524,0.47811805564016524,0.12878768798969442,26
webis-touche2020,39,0.91,0.6103333919038211,0.6045318502386923,0.15240352344584326,17
webis-touche2020,40,0.97,0.08756381252856431,0.08756381252856431,0.011280617438420817,29
webis-touche2020,41,0.52,0.8226946810303294,0.6261036607178073,0.5986394612688231,9
webis-touche2020,42,0.76,0.8596547738489775,0.8243068049717509,0.6622626328399521,6
webis-touche2020,43,0.99,0.7841428761298224,0.7841428761298224,0.5877071608566905,16
webis-touche2020,44,0.04,0.556975169220098,0.3063195740114997,0.31959610803301874,6
webis-touche2020,45,0.99,0.6943349486356012,0.6943349486356012,0.33979141668909196,15
webis-touche2020,46,0.98,0.5952834877770843,0.5884274758354706,0.49262377673827495,19
webis-touche2020,47,0.81,0.34847816558550865,0.3441537235374453,0.07924605234924932,26
webis-touche2020,48,0.58,0.4605424270473602,0.432716938657126,0.2892930517605789,15
webis-touche2020,49,0.99,0.6776951863796692,0.6776951863796692,0.5269834710324194,19
webis-touche2020,50,0.99,0.8368439870560664,0.8368439870560664,0.47859563772459934,13
