dataset,method,k1,b,use_stemming,mean_ndcg@100,n_queries
hotpotqa,lucene,0.8,0.4,True,0.666279,7405
hotpotqa,lucene,0.9,0.4,True,0.665438,7405
hotpotqa,lucene,0.9,0.3,True,0.665207,7405
hotpotqa,lucene,0.8,0.3,True,0.665189,7405
hotpotqa,lucene,1.0,0.4,True,0.66476,7405
hotpotqa,lucene,0.6,0.4,True,0.664532,7405
hotpotqa,lucene,0.6,0.5,True,0.664476,7405
hotpotqa,lucene,1.0,0.3,True,0.664257,7405
hotpotqa,lucene,0.8,0.5,True,0.664,7405
hotpotqa,lucene,0.9,0.5,True,0.662365,7405
hotpotqa,lucene,0.6,0.3,True,0.662357,7405
hotpotqa,lucene,1.2,0.3,True,0.662238,7405
hotpotqa,lucene,1.2,0.4,True,0.661468,7405
hotpotqa,lucene,1.0,0.5,True,0.660624,7405
hotpotqa,lucene,0.6,0.6,True,0.660498,7405
hotpotqa,lucene,0.8,0.4,False,0.660216,7405
hotpotqa,lucene,0.9,0.3,False,0.660136,7405
hotpotqa,lucene,1.0,0.3,False,0.659902,7405
hotpotqa,lucene,0.8,0.3,False,0.659864,7405
hotpotqa,lucene,0.9,0.4,False,0.659603,7405
hotpotqa,lucene,0.6,0.4,False,0.658621,7405
hotpotqa,lucene,1.0,0.4,False,0.658591,7405
hotpotqa,lucene,0.4,0.5,True,0.658388,7405
hotpotqa,lucene,1.2,0.3,False,0.658015,7405
hotpotqa,lucene,0.4,0.6,True,0.657993,7405
hotpotqa,lucene,0.8,0.6,True,0.657889,7405
hotpotqa,lucene,0.6,0.3,False,0.656997,7405
hotpotqa,lucene,0.6,0.5,False,0.65684,7405
hotpotqa,lucene,0.8,0.5,False,0.656435,7405
hotpotqa,lucene,0.4,0.4,True,0.656183,7405
hotpotqa,lucene,1.2,0.4,False,0.655901,7405
hotpotqa,lucene,1.2,0.5,True,0.655726,7405
hotpotqa,lucene,0.9,0.6,True,0.655678,7405
hotpotqa,lucene,0.9,0.5,False,0.654953,7405
hotpotqa,lucene,0.4,0.75,True,0.654469,7405
hotpotqa,lucene,1.6,0.3,True,0.654318,7405
hotpotqa,lucene,1.0,0.5,False,0.653543,7405
hotpotqa,lucene,0.6,0.6,False,0.653252,7405
hotpotqa,lucene,1.0,0.6,True,0.652817,7405
hotpotqa,lucene,0.6,0.75,True,0.65229,7405
hotpotqa,lucene,1.6,0.3,False,0.651905,7405
hotpotqa,lucene,1.6,0.4,True,0.651657,7405
hotpotqa,lucene,0.4,0.3,True,0.651517,7405
hotpotqa,lucene,0.4,0.5,False,0.650703,7405
hotpotqa,lucene,0.8,0.6,False,0.65004,7405
hotpotqa,lucene,0.4,0.6,False,0.649891,7405
hotpotqa,lucene,0.4,0.4,False,0.649755,7405
hotpotqa,lucene,1.2,0.5,False,0.649613,7405
hotpotqa,lucene,0.4,0.9,True,0.64843,7405
hotpotqa,lucene,1.6,0.4,False,0.647827,7405
hotpotqa,lucene,0.9,0.6,False,0.647473,7405
hotpotqa,lucene,0.4,0.3,False,0.646107,7405
hotpotqa,lucene,0.4,0.75,False,0.645847,7405
hotpotqa,lucene,1.2,0.6,True,0.645791,7405
hotpotqa,lucene,0.8,0.75,True,0.6455,7405
hotpotqa,lucene,2.0,0.3,True,0.644713,7405
hotpotqa,lucene,1.0,0.6,False,0.644608,7405
hotpotqa,lucene,1.6,0.5,True,0.644474,7405
hotpotqa,lucene,2.0,0.3,False,0.64386,7405
hotpotqa,lucene,0.6,0.75,False,0.642896,7405
hotpotqa,lucene,0.4,1.0,True,0.642491,7405
hotpotqa,lucene,2.0,0.4,True,0.641294,7405
hotpotqa,lucene,0.9,0.75,True,0.640492,7405
hotpotqa,lucene,0.6,0.9,True,0.639706,7405
hotpotqa,lucene,0.4,0.9,False,0.639058,7405
hotpotqa,lucene,2.0,0.4,False,0.638891,7405
hotpotqa,lucene,1.2,0.6,False,0.638746,7405
hotpotqa,lucene,1.6,0.5,False,0.638671,7405
hotpotqa,lucene,0.8,0.75,False,0.635964,7405
hotpotqa,lucene,1.0,0.75,True,0.635239,7405
hotpotqa,lucene,0.4,1.0,False,0.632936,7405
hotpotqa,lucene,1.6,0.6,True,0.632039,7405
hotpotqa,lucene,2.0,0.5,True,0.632014,7405
hotpotqa,lucene,0.9,0.75,False,0.631911,7405
hotpotqa,lucene,0.6,0.9,False,0.630171,7405
hotpotqa,lucene,0.6,1.0,True,0.628459,7405
hotpotqa,lucene,2.0,0.5,False,0.627459,7405
hotpotqa,lucene,1.0,0.75,False,0.626915,7405
hotpotqa,lucene,0.8,0.9,True,0.625919,7405
