dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
fiqa,8,0.0,0.7601875334318685,0.6131471927654584,0.7601875334318685,2
fiqa,15,0.09,0.6309297535714575,0.20801459767650948,0.43067655807339306,1
fiqa,18,0.03,0.6309297535714575,0.23540891336663824,0.5,1
fiqa,26,0.42,0.3209699702368588,0.17723928678404774,0.23839872367146456,2
fiqa,34,0.0,0.15561139140249397,0.0,0.15561139140249397,1
fiqa,42,0.0,0.737362715714979,0.11480929472601784,0.737362715714979,3
fiqa,56,0.02,0.5,0.2037950470905062,0.43067655807339306,1
fiqa,68,0.0,0.0,0.0,0.0,1
fiqa,89,0.06,0.5417452844947525,0.23877292085081492,0.4948345652020344,6
fiqa,90,0.0,0.38685280723454163,0.0,0.38685280723454163,1
fiqa,94,0.0,1.0,0.43067655807339306,1.0,1
fiqa,98,0.0,0.7069126464693674,0.0,0.7069126464693674,2
fiqa,104,0.0,0.7196909249470093,0.14704034066641014,0.7196909249470093,2
fiqa,106,0.0,1.0,0.0,1.0,1
fiqa,109,0.0,1.0,0.38685280723454163,1.0,1
fiqa,475,0.0,1.0,0.38685280723454163,1.0,1
fiqa,503,0.0,0.20184908658209985,0.0,0.20184908658209985,1
fiqa,504,0.0,0.0,0.0,0.0,3
fiqa,515,0.02,1.0,1.0,0.6309297535714575,1
fiqa,529,0.0,0.15817959093978226,0.0,0.15817959093978226,1
fiqa,547,0.0,0.42976388833782037,0.0,0.42976388833782037,2
fiqa,549,0.37,0.2559580248098155,0.20801459767650948,0.18208790046993825,1
fiqa,559,0.0,0.0,0.0,0.0,1
fiqa,570,0.0,0.0,0.0,0.0,1
fiqa,585,0.0,0.7631539858737962,0.0,0.7631539858737962,2
fiqa,588,0.0,1.0,0.6131471927654584,1.0,2
fiqa,594,0.0,0.8772153153380493,0.38685280723454163,0.8772153153380493,2
fiqa,603,0.0,1.0,0.0,1.0,1
fiqa,604,0.0,0.9325210919548239,0.0,0.9325210919548239,3
fiqa,620,0.0,0.37929214031455244,0.05186602972502926,0.37929214031455244,5
fiqa,622,0.0,0.8315546295836225,0.11769895029887298,0.8315546295836225,2
fiqa,659,0.06,0.9335589807673311,0.3867230054439762,0.9287725702042594,10
fiqa,672,0.44,0.28963194045236623,0.24368074629599426,0.2675865572707589,2
fiqa,684,0.0,0.31546487678572877,0.0,0.31546487678572877,1
fiqa,687,0.0,0.3220701680935655,0.0,0.3220701680935655,2
fiqa,689,0.0,0.0,0.0,0.0,1
fiqa,691,0.0,1.0,0.43067655807339306,1.0,1
fiqa,699,0.0,1.0,0.43067655807339306,1.0,1
fiqa,701,0.0,0.40238629731611975,0.0,0.40238629731611975,3
fiqa,715,0.0,0.39433955847796676,0.0,0.39433955847796676,3
fiqa,721,0.0,1.0,0.5,1.0,1
fiqa,744,0.0,0.2776822318230374,0.0,0.2776822318230374,3
fiqa,750,0.41,0.9197207891481876,0.8065735963827293,0.8175295903539445,2
fiqa,753,0.0,0.6131471927654584,0.09905728133858463,0.6131471927654584,2
fiqa,766,0.21,0.6508205185601091,0.19086620746945027,0.29886147404304175,3
fiqa,776,0.08,0.5411279777504869,0.3091617631184636,0.5114456267301081,12
fiqa,810,0.2,0.43067655807339306,0.20801459767650948,0.27023815442731974,1
fiqa,813,0.04,0.7420981285103057,0.1995767300590966,0.7406907593850465,2
fiqa,849,0.3,0.31546487678572877,0.27023815442731974,0.2559580248098155,1
fiqa,852,0.44,0.9674679834891693,0.86034433104172,0.8091509451814294,3
fiqa,853,0.0,1.0,0.13373003436102654,1.0,2
fiqa,858,0.0,0.25474830680836996,0.0,0.25474830680836996,4
fiqa,859,0.17,0.3065735963827292,0.10107784002417343,0.19342640361727081,2
fiqa,864,0.06,0.7751482523375255,0.4276360413324922,0.7456919575934261,6
fiqa,879,0.0,1.0,0.6309297535714575,1.0,1
fiqa,885,0.0,0.15693994437792994,0.0,0.15693994437792994,2
fiqa,895,0.25,1.0,1.0,0.6309297535714575,1
fiqa,904,0.0,1.0,1.0,1.0,1
fiqa,928,0.0,0.9197207891481876,0.41037561926449767,0.9197207891481876,2
fiqa,929,0.0,1.0,1.0,1.0,1
fiqa,932,0.22,0.6934264036172708,0.448643819352159,0.5,2
fiqa,939,0.0,1.0,0.2890648263178879,1.0,1
fiqa,945,0.0,1.0,0.0,1.0,1
fiqa,957,0.0,0.8519590445170673,0.6049306994552042,0.8519590445170673,3
fiqa,988,0.0,0.0,0.0,0.0,2
fiqa,1074,0.0,1.0,0.0,1.0,1
fiqa,1085,0.0,0.20438239758848611,0.0,0.20438239758848611,2
fiqa,1090,0.0,0.25935005266505645,0.0,0.25935005266505645,2
fiqa,1150,0.0,0.34620964322385606,0.0,0.34620964322385606,4
fiqa,1157,0.0,0.7223509111745405,0.38685280723454163,0.7223509111745405,2
fiqa,1159,0.0,0.24465054211822604,0.0,0.24465054211822604,1
fiqa,1198,0.0,1.0,1.0,1.0,1
fiqa,1230,0.0,1.0,0.0,1.0,1
fiqa,1281,0.0,0.6309297535714575,0.1949590218937863,0.6309297535714575,1
fiqa,1284,0.02,1.0,1.0,0.5,1
fiqa,1297,0.0,1.0,0.3010299956639812,1.0,1
fiqa,1306,0.0,0.6366824387328317,0.5413996682199069,0.6366824387328317,4
fiqa,1309,0.06,0.6991639654714383,0.2532778777010656,0.5831799414204717,4
fiqa,1310,0.99,0.5,0.5,0.0,1
fiqa,1321,0.0,0.6131471927654584,0.0,0.6131471927654584,2
fiqa,1322,0.0,0.7012679112025746,0.0,0.7012679112025746,4
fiqa,1391,0.0,0.5679726963447116,0.0,0.5679726963447116,3
fiqa,1393,0.0,0.6920165406831017,0.21054691830919525,0.6920165406831017,6
fiqa,1415,0.15,1.0,1.0,0.9709286432396583,4
fiqa,1416,0.0,0.27023815442731974,0.15442266280111014,0.27023815442731974,1
fiqa,1441,0.26,1.0,0.9558295932317544,0.9828920819566879,4
fiqa,1451,0.02,1.0,0.6309297535714575,0.5,1
fiqa,1469,0.02,1.0,1.0,0.5,1
fiqa,1530,0.02,0.9674679834891693,0.1712531395462539,0.9060254355346823,3
fiqa,1670,0.0,0.8691016115970043,0.7653606369886217,0.8691016115970043,3
fiqa,1676,0.83,0.8550231643168773,0.7695547496448466,0.6815992799598618,4
fiqa,1736,0.17,0.63995724624407,0.5087403079104241,0.38986545036738424,5
fiqa,1748,0.63,0.5537635976403958,0.3745923257412831,0.5461023074528075,3
fiqa,1783,0.0,0.0,0.0,0.0,1
fiqa,1812,0.99,0.6131471927654584,0.6131471927654584,0.24375354247504552,2
fiqa,1815,0.0,1.0,1.0,1.0,1
fiqa,1819,0.0,0.5437693031835384,0.0,0.5437693031835384,6
fiqa,1824,0.0,1.0,0.19342640361727081,1.0,1
fiqa,1826,0.0,1.0,0.9194127790373597,1.0,4
fiqa,1832,0.04,0.6309297535714575,0.5,0.38685280723454163,1
fiqa,1871,0.06,0.8885837595925424,0.6338611700353989,0.8812342024787176,4
fiqa,1877,0.0,1.0,1.0,1.0,1
fiqa,1889,0.0,0.0,0.0,0.0,1
fiqa,1915,0.0,1.0,0.2640681225725909,1.0,2
fiqa,1920,0.0,0.227670248696953,0.0,0.227670248696953,1
fiqa,1933,0.0,1.0,1.0,1.0,1
fiqa,1948,0.0,1.0,0.3562071871080222,1.0,1
fiqa,1994,0.04,0.9009555978812008,0.4915416217841656,0.707863742450291,5
fiqa,2010,0.0,0.9217868789962071,0.40292271522765544,0.9217868789962071,3
fiqa,2051,0.0,0.5,0.0,0.5,1
fiqa,2070,0.92,0.5403825022761476,0.46927872602275644,0.2939774717985958,3
fiqa,2075,0.01,0.7263058199520592,0.27082191398426897,0.725048453685168,9
fiqa,2076,0.0,1.0,0.0,1.0,2
fiqa,2088,0.0,0.710698180182847,0.09311323985494363,0.710698180182847,2
fiqa,2108,0.0,0.6294152442991986,0.0,0.6294152442991986,3
fiqa,2118,0.0,0.5,0.0,0.5,1
fiqa,2154,0.05,1.0,0.22106472945750374,0.38685280723454163,1
fiqa,2181,0.0,0.14434031438272124,0.0,0.14434031438272124,2
fiqa,2183,0.0,0.9261577042159067,0.38005592956065276,0.9261577042159067,6
fiqa,2204,0.0,1.0,0.7269547345639102,1.0,8
fiqa,2264,0.0,0.7841802768331765,0.38685280723454163,0.7841802768331765,2
fiqa,2296,0.08,0.7037030696865534,0.31339406588598046,0.6639959839383855,9
fiqa,2306,0.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,2
fiqa,2316,0.0,1.0,1.0,1.0,2
fiqa,2318,0.03,1.0,0.16666666666666666,0.6309297535714575,1
fiqa,2330,0.0,0.8065735963827293,0.6131471927654584,0.8065735963827293,2
fiqa,2334,0.0,0.9134015924715543,0.5020254679420172,0.9134015924715543,3
fiqa,2348,0.49,0.7113872921699294,0.4663178871118702,0.6637762012184726,15
fiqa,2376,0.24,0.9963488021549354,0.8089493928749906,0.9746035626743573,8
