dataset,fusion,family,framing,rule,dev_ndcg,pred_std,beats_constant,vs_constant,pred_mean,alpha_const,vs_constant_ci_lo,vs_constant_ci_hi,sig_vs_constant,cal_minus_raw,cal_vs_raw_ci_lo,cal_vs_raw_ci_hi,sig_cal_vs_raw
nfcorpus,score-minmax,reference,constant,-,0.3501332998275757,0.0,False,0.0,,,,,,,,,
nfcorpus,score-minmax,reference,oracle,-,0.3996044099330902,0.0,True,0.049471110105514526,,,,,,,,,
nfcorpus,score-minmax,lightgbm,regression,raw,0.35359105467796326,0.14926198408958344,True,0.0034577264450490475,0.3233239339818014,0.4399999976158142,-0.002213670575292781,0.008847933169454333,False,,,,
nfcorpus,score-minmax,lightgbm,regression,calibrated,0.3532997965812683,0.14050872462359984,True,0.003166460432112217,0.4330246944302394,0.4399999976158142,-0.0019048362592002377,0.008889688272029161,False,-0.00029126647859811783,-0.00649006663588807,0.006290934386197476,False
nfcorpus,score-minmax,lightgbm,binary,raw,0.3519459068775177,0.11335094533558374,True,0.0018125693313777447,0.28295711289412384,0.4399999976158142,-0.0041990459547378125,0.008272417960688472,False,,,,
nfcorpus,score-minmax,lightgbm,binary,calibrated,0.3516721725463867,0.19142862955280554,True,0.001538866083137691,0.4711728343441163,0.4399999976158142,-0.004784150258637964,0.008001673151738942,False,-0.00027370304451324046,-0.008621534542180597,0.008910614671185611,False
nfcorpus,score-minmax,lightgbm,multibin,raw,0.3532986640930176,0.14331318356095313,True,0.0031653421465307474,0.28715703898524936,0.4399999976158142,-0.002764449588721618,0.009099805122241377,False,,,,
nfcorpus,score-minmax,lightgbm,multibin,calibrated,0.352076917886734,0.14712155687724193,True,0.0019436250440776348,0.4105555565544852,0.4399999976158142,-0.004887987789697945,0.00856333845295012,False,-0.0012217171024531126,-0.008481656364165247,0.0061165319872088725,False
nfcorpus,score-minmax,xgboost,regression,raw,0.35408303141593933,0.14756788745463262,True,0.003949697595089674,0.3274818570238113,0.4399999976158142,-0.001140770612983033,0.009239112050272523,False,,,,
nfcorpus,score-minmax,xgboost,regression,calibrated,0.35215282440185547,0.16794669331401918,True,0.0020195073448121548,0.3925617284796856,0.4399999976158142,-0.004238665290176869,0.009000533982180058,False,-0.0019301899010315537,-0.008698407979682087,0.005601027084048837,False
nfcorpus,score-minmax,xgboost,binary,raw,0.3508860766887665,0.14660182919045667,True,0.0007527657435275614,0.2774065122537223,0.4399999976158142,-0.00543705663876608,0.006955814966931938,False,,,,
nfcorpus,score-minmax,xgboost,binary,calibrated,0.3520682454109192,0.18238967164845932,True,0.0019349321955814958,0.48126542899343705,0.4399999976158142,-0.0020574049092829225,0.006196786789223551,False,0.001182166743092239,-0.004766516457311809,0.006872476858552545,False
nfcorpus,score-minmax,xgboost,multibin,raw,0.35338807106018066,0.15419899814762797,True,0.0032547470182180405,0.30737321703249404,0.4399999976158142,-0.0021100384998135268,0.009003771329298615,False,,,,
nfcorpus,score-minmax,xgboost,multibin,calibrated,0.354837030172348,0.15195587971861474,True,0.004703704733401537,0.3681172782808174,0.4399999976158142,-0.0014593090978451072,0.010841007996350524,False,0.0014489585300907493,-0.004701236577238888,0.007187667733523994,False
nfcorpus,score-minmax,hist_gbdt,regression,raw,0.3537639081478119,0.15515858696034068,True,0.003630597610026598,0.3297578065797496,0.4399999976158142,-0.0013602638849988578,0.008436243142932653,False,,,,
nfcorpus,score-minmax,hist_gbdt,regression,calibrated,0.35434845089912415,0.1551063026208582,True,0.004215140361338854,0.4462654287064517,0.4399999976158142,-0.0016838381387060508,0.010391590674407779,False,0.0005845424020662904,-0.006332444818690419,0.0075881077325902855,False
nfcorpus,score-minmax,hist_gbdt,binary,raw,0.3501625657081604,0.15132292614251386,True,2.9267352147144265e-05,0.274438041345822,0.4399999976158142,-0.006938553706277162,0.007024955691304057,False,,,,
nfcorpus,score-minmax,hist_gbdt,binary,calibrated,0.352696031332016,0.14959570522496926,True,0.002562703099101782,0.4003703709185859,0.4399999976158142,-0.0021027863782364874,0.007381034654099494,False,0.002533435821533203,-0.0028413569380063564,0.009018549579195676,False
nfcorpus,score-minmax,hist_gbdt,multibin,raw,0.3565746247768402,0.16240741045704132,True,0.006441306322813034,0.29594829082895646,0.4399999976158142,0.0013974225701531395,0.011867780797183513,True,,,,
nfcorpus,score-minmax,hist_gbdt,multibin,calibrated,0.35468339920043945,0.14650986794806325,True,0.004550097975879908,0.43123456366636137,0.4399999976158142,-0.0010049322067061436,0.010499936155974865,False,-0.001891208696179092,-0.008509402233175933,0.0049104686942882825,False
nfcorpus,score-minmax,random_forest,regression,raw,0.3507356643676758,0.11410645261636379,True,0.0006023346213623881,0.32563819865050314,0.4399999976158142,-0.0044083584565669295,0.005587958195246753,False,,,,
nfcorpus,score-minmax,random_forest,regression,calibrated,0.3524819612503052,0.08766298303532291,True,0.0023486416321247816,0.4380555513464374,0.4399999976158142,-0.0009789493720745667,0.0055250591016374525,False,0.0017463075928390026,-0.003688960714498535,0.006904953450430182,False
nfcorpus,score-minmax,random_forest,binary,raw,0.3518272042274475,0.13815211302363367,True,0.0016938730841502547,0.2877078649448824,0.4399999976158142,-0.0037450410542078315,0.007388438121415673,False,,,,
nfcorpus,score-minmax,random_forest,binary,calibrated,0.35159602761268616,0.08680616366867155,True,0.0014627003110945225,0.4491049349308014,0.4399999976158142,-0.0019310005183797328,0.00465807260479778,False,-0.0002311728458153084,-0.00613107600947842,0.005591705208644266,False
nfcorpus,score-minmax,random_forest,multibin,raw,0.35281041264533997,0.11141342725360832,True,0.002677088137716055,0.32763248214645935,0.4399999976158142,-0.0010068114730529486,0.006313624850008635,False,,,,
nfcorpus,score-minmax,random_forest,multibin,calibrated,0.35170143842697144,0.20274434782205716,True,0.001568106235936284,0.5057716036652341,0.4399999976158142,-0.005272907111793757,0.00870301737450063,False,-0.0011089819017797709,-0.008396004256792367,0.0065356767619959965,False
nfcorpus,score-minmax,extra_trees,regression,raw,0.35334718227386475,0.1269968139798941,True,0.003213870571926236,0.3305155501500724,0.4399999976158142,-0.00035874033492291343,0.006762905546929684,False,,,,
nfcorpus,score-minmax,extra_trees,regression,calibrated,0.3521285057067871,0.13654352436144332,True,0.0019951893482357264,0.4549691265931836,0.4399999976158142,-0.0029385498783085495,0.00671589293051511,False,-0.0012186815729364753,-0.006643675465602427,0.004029576806351541,False
nfcorpus,score-minmax,extra_trees,binary,raw,0.35124287009239197,0.14339156581271648,True,0.0011095489608123899,0.28388716269520536,0.4399999976158142,-0.004726918088272213,0.007261222659144549,False,,,,
nfcorpus,score-minmax,extra_trees,binary,calibrated,0.3538420498371124,0.1555550770503993,True,0.0037087334785610437,0.41311729041698536,0.4399999976158142,-0.0016678279323969034,0.00918502635322511,False,0.0025991846341639757,-0.0037740294530522077,0.009678409970365464,False
nfcorpus,score-minmax,extra_trees,multibin,raw,0.35227131843566895,0.11658660425634196,True,0.0021379932295531034,0.33030197182259363,0.4399999976158142,-0.0022684874245896933,0.006148256908636539,False,,,,
nfcorpus,score-minmax,extra_trees,multibin,calibrated,0.3538099527359009,0.15315833489454314,True,0.0036766279954463243,0.4907407435921975,0.4399999976158142,-0.0019411605986533686,0.010077448398806154,False,0.00153863534796983,-0.005381622794084251,0.00871023740619421,False
nfcorpus,score-minmax,elasticnet,regression,raw,0.3512895703315735,0.1275501539584336,True,0.001156254904344678,0.325893763956926,0.4399999976158142,-0.0039850665372796355,0.006496899249032139,False,,,,
nfcorpus,score-minmax,elasticnet,regression,calibrated,0.3537101745605469,0.17020200177481565,True,0.003576872171834111,0.4166049438494223,0.4399999976158142,-0.0010211922257440163,0.008536559389904141,False,0.0024206170346587896,-0.002429585834033787,0.0072534044040367006,False
nfcorpus,score-minmax,logreg,binary,raw,0.3509490191936493,0.0,True,0.0008157017291523516,0.40294155102044016,0.4399999976158142,-0.00141894937842153,0.003106392407789826,False,,,,
nfcorpus,score-minmax,logreg,binary,calibrated,0.3528614640235901,0.12418443124531788,True,0.002728148130699992,0.4161728397471669,0.4399999976158142,-0.0017018484708387403,0.007191941421478986,False,0.0019124466925859451,-0.0028965221776161344,0.006615933100692925,False
nfcorpus,score-minmax,logreg,multibin,raw,0.35170087218284607,0.125015827027617,True,0.001567539293318987,0.3219737659992538,0.4399999976158142,-0.003857738693477586,0.006818253744859248,False,,,,
nfcorpus,score-minmax,logreg,multibin,calibrated,0.3527928292751312,0.17168822648235058,True,0.0026595257222652435,0.43506172377570174,0.4399999976158142,-0.0027785923914052544,0.008028029091656206,False,0.0010919865453615785,-0.0030586841749027367,0.00548682629596442,False
