n_features,dropped,cost,dev_ndcg,features,tied_with_best,chosen
31,-,-,0.6737194657325745,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
30,top_score_dense,scores,0.6754187941551208,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
29,robust_sigma_dense,scores,0.6756333708763123,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
28,apair_ratio_dense,embed,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
27,sigma_k_bm25,scores,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
26,norm_margin_bm25,scores,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
25,entropy_bm25,scores,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
24,norm_margin_dense,scores,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
23,d_zscore_top,scores,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
22,zscore_top_bm25,lookup,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
21,d_smv,lookup,0.6761059165000916,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_sigma_k,True,False
20,zscore_margin_bm25,lookup,0.6760740876197815,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_sigma_k,True,False
19,d_sigma_k,lookup,0.6761548519134521,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|robust_sigma_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy,True,False
18,robust_sigma_bm25,scores,0.6762627363204956,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy,True,False
17,jaccard,scores,0.676181972026825,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|entropy_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|kendall_tau|d_zscore_margin|d_entropy,True,False
16,entropy_dense,scores,0.6761562824249268,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|kendall_tau|d_zscore_margin|d_entropy,True,False
15,autocorr_dense,embed,0.6761753559112549,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|zscore_top_dense|zscore_margin_dense|kendall_tau|d_zscore_margin|d_entropy,True,False
14,smv_bm25,scores,0.6761783361434937,ql|query_centroid_cos|top_score_bm25|margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|smv_dense|zscore_top_dense|zscore_margin_dense|kendall_tau|d_zscore_margin|d_entropy,True,False
13,smv_dense,scores,0.6759666204452515,ql|query_centroid_cos|top_score_bm25|margin_bm25|autocorr_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|zscore_top_dense|zscore_margin_dense|kendall_tau|d_zscore_margin|d_entropy,True,False
12,autocorr_bm25,embed,0.6761637330055237,ql|query_centroid_cos|top_score_bm25|margin_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|zscore_top_dense|zscore_margin_dense|kendall_tau|d_zscore_margin|d_entropy,True,False
11,d_zscore_margin,scores,0.6763496994972229,ql|query_centroid_cos|top_score_bm25|margin_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|zscore_top_dense|zscore_margin_dense|kendall_tau|d_entropy,True,False
10,margin_bm25,scores,0.6765167713165283,ql|query_centroid_cos|top_score_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|zscore_top_dense|zscore_margin_dense|kendall_tau|d_entropy,True,False
9,zscore_margin_dense,lookup,0.6765167713165283,ql|query_centroid_cos|top_score_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|zscore_top_dense|kendall_tau|d_entropy,True,False
8,zscore_top_dense,lookup,0.6772869825363159,ql|query_centroid_cos|top_score_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|kendall_tau|d_entropy,True,False
7,kendall_tau,scores,0.6771995425224304,ql|query_centroid_cos|top_score_bm25|apair_ratio_bm25|sigma_k_dense|margin_dense|d_entropy,True,False
6,apair_ratio_bm25,embed,0.6768711805343628,ql|query_centroid_cos|top_score_bm25|sigma_k_dense|margin_dense|d_entropy,True,False
5,top_score_bm25,scores,0.676429271697998,ql|query_centroid_cos|sigma_k_dense|margin_dense|d_entropy,True,True
4,margin_dense,scores,0.6741236448287964,ql|query_centroid_cos|sigma_k_dense|d_entropy,False,False
3,query_centroid_cos,embed,0.6740789413452148,ql|sigma_k_dense|d_entropy,False,False
