config,n_features,max_cost,dev_ndcg,diff_vs_best,tied_with_best,pred_std,chosen
oracle,0,0,0.7501801252365112,0.07310982048511505,False,0.0,False
f3|logreg|binary,3,2,0.6770703196525574,0.0,True,0.16065225483596943,True
f10|elasticnet|regression,10,3,0.6768278479576111,-0.00024240993661805987,True,0.17769293854496307,False
f5|logreg|binary,5,3,0.676793098449707,-0.0002772196603473276,True,0.21470426794142017,False
f10|logreg|binary,10,3,0.6767553091049194,-0.0003149508556816727,True,0.1831055149575133,False
f5|elasticnet|regression,5,3,0.6766530871391296,-0.00041716641862876713,True,0.2119854260283064,False
f3|logreg|multibin,3,2,0.6765899062156677,-0.0004804043273907155,True,0.13447635864882765,False
f10|logreg|multibin,10,3,0.6765639185905457,-0.0005063576973043382,True,0.20489357400311844,False
f5|logreg|multibin,5,3,0.6765104532241821,-0.0005598669522441924,True,0.2163606884411243,False
f31|logreg|multibin,31,3,0.6763383746147156,-0.0007319002179428935,True,0.21411773882475077,False
f10|xgboost|multibin,10,3,0.676308810710907,-0.0007615098147653043,True,0.19501454068990143,False
f31|logreg|binary,31,3,0.6761202812194824,-0.0009500434389337897,True,0.16073320610695838,False
f31|xgboost|regression,31,3,0.675846517086029,-0.001223815605044365,True,0.22329061221410507,False
f31|elasticnet|regression,31,3,0.675815761089325,-0.0012545320205390453,True,0.21682381065591733,False
f10|catboost|multibin,10,3,0.6755564212799072,-0.0015138671733438969,True,0.23043777705270177,False
f10|catboost|regression,10,3,0.6755251288414001,-0.0015451593790203333,True,0.2146075397349412,False
f5|extra_trees|binary,5,3,0.6753591895103455,-0.0017110580811277032,True,0.03703825516610592,False
f10|lightgbm|multibin,10,3,0.6753519773483276,-0.0017183296149596572,True,0.18628866752029843,False
f5|extra_trees|multibin,5,3,0.6751784682273865,-0.001891795895062387,True,0.22616008729997525,False
f10|extra_trees|multibin,10,3,0.6750804781913757,-0.001989868236705661,True,0.17247984971872674,False
f10|lightgbm|binary,10,3,0.6750710010528564,-0.001999255269765854,True,0.19212589695948443,False
f10|extra_trees|binary,10,3,0.6750465631484985,-0.0020237357821315527,True,0.15053964949158544,False
f10|lightgbm|regression,10,3,0.6750418543815613,-0.0020284317433834076,True,0.2207407024187802,False
f10|xgboost|regression,10,3,0.6750310063362122,-0.00203926139511168,True,0.23214232832010637,False
f5|extra_trees|regression,5,3,0.6749537587165833,-0.002116553718224168,True,0.03807191999548036,False
f10|hist_gbdt|regression,10,3,0.6749036312103271,-0.0021666395477950573,True,0.19276923879379812,False
f10|catboost|binary,10,3,0.6749014854431152,-0.0021688397973775864,True,0.2314213987611502,False
f3|extra_trees|binary,3,2,0.6748340725898743,-0.002236219821497798,False,0.03819646473596387,False
f10|random_forest|regression,10,3,0.6748148798942566,-0.002255423227325082,True,0.2221184874635203,False
f10|extra_trees|regression,10,3,0.674814760684967,-0.0022555526811629534,False,0.17154948442058982,False
f5|catboost|multibin,5,3,0.6747499108314514,-0.002320405561476946,True,0.19373273303781016,False
f3|extra_trees|regression,3,2,0.6746587753295898,-0.0024116006679832935,False,0.1696852940772448,False
f3|extra_trees|multibin,3,2,0.6746509671211243,-0.002419317839667201,False,0.0377173583739653,False
