family,framing,params,dev_ndcg,pred_std,corr
reference,oracle,{},0.7501801252365112,0.0,1.0
logreg,multibin,"{""penalty"": ""elasticnet"", ""C"": 0.009964422183988677, ""l1_ratio"": 0.3758372909220917, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6763383746147156,0.21411773882475077,0.16213653137091397
logreg,binary,"{""penalty"": ""l1"", ""C"": 0.015170229913878272, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6761202812194824,0.16073320610695838,0.15074500889116965
xgboost,regression,"{""n_estimators"": 161, ""learning_rate"": 0.13641550958197396, ""max_depth"": 4, ""min_child_weight"": 9.264827767156874, ""subsample"": 0.8108932693771251, ""colsample_bytree"": 0.8087401666122206, ""gamma"": 8.90020917379351e-05, ""reg_alpha"": 5.05428886199324, ""reg_lambda"": 5.025878139960629e-05, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.675846517086029,0.22329061221410507,0.2200832397024331
elasticnet,regression,"{""alpha"": 0.012045602237659337, ""l1_ratio"": 0.5134577501199694, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.675815761089325,0.21682381065591733,0.18058261314211407
xgboost,multibin,"{""n_estimators"": 165, ""learning_rate"": 0.027659250191407903, ""max_depth"": 7, ""min_child_weight"": 14.89197727378023, ""subsample"": 0.6014749202166069, ""colsample_bytree"": 0.5325449410112987, ""gamma"": 0.0008985017961590191, ""reg_alpha"": 1.3157541938141904e-07, ""reg_lambda"": 0.6464569022315946, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6745703816413879,0.2056293623802664,0.21765729953827834
hist_gbdt,regression,"{""max_iter"": 150, ""learning_rate"": 0.04697441172808572, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""l2_regularization"": 1.6739514345388848e-08, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6743647456169128,0.1933445313530014,0.2228085449179697
lightgbm,multibin,"{""n_estimators"": 268, ""learning_rate"": 0.012267376018147577, ""num_leaves"": 45, ""min_child_samples"": 20, ""subsample"": 0.6797724838058413, ""colsample_bytree"": 0.7277568065122932, ""reg_alpha"": 3.41895596931225, ""reg_lambda"": 0.0012095595987304908, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6741339564323425,0.2126823005838659,0.19708014398556695
lightgbm,regression,"{""n_estimators"": 111, ""learning_rate"": 0.04329477367872, ""num_leaves"": 250, ""min_child_samples"": 40, ""subsample"": 0.7410737860868123, ""colsample_bytree"": 0.9987349142404867, ""reg_alpha"": 5.553086316619445, ""reg_lambda"": 0.014866932806366525, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6737256646156311,0.2138178220777965,0.1978262552538555
extra_trees,multibin,"{""n_estimators"": 101, ""max_depth"": 25, ""min_samples_leaf"": 20, ""max_features"": 0.6862405755200823, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6736119985580444,0.17567520365349068,0.16274298525804812
hist_gbdt,binary,"{""max_iter"": 299, ""learning_rate"": 0.01607123851203988, ""max_leaf_nodes"": 34, ""min_samples_leaf"": 40, ""l2_regularization"": 0.00012724181576752517, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6734467148780823,0.1469762455991571,0.2167036661776105
random_forest,regression,"{""n_estimators"": 116, ""max_depth"": 20, ""min_samples_leaf"": 20, ""max_features"": 0.4988605510403577, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6731916666030884,0.23543445459150095,0.2182940009570682
hist_gbdt,multibin,"{""max_iter"": 113, ""learning_rate"": 0.027279125216685175, ""max_leaf_nodes"": 27, ""min_samples_leaf"": 87, ""l2_regularization"": 7.770079858813433e-08, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6730961799621582,0.19166447404362624,0.23705083354761833
random_forest,multibin,"{""n_estimators"": 274, ""max_depth"": 18, ""min_samples_leaf"": 19, ""max_features"": 0.7216116225916996, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6730040311813354,0.1878306508588763,0.18081868827502706
xgboost,binary,"{""n_estimators"": 130, ""learning_rate"": 0.07414504676991612, ""max_depth"": 6, ""min_child_weight"": 2.104663973515339, ""subsample"": 0.696283104444102, ""colsample_bytree"": 0.5655055745177853, ""gamma"": 0.008225257686610248, ""reg_alpha"": 7.33618347238189e-05, ""reg_lambda"": 0.0011438363663352916, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6729310750961304,0.16974682180104506,0.18607789836520783
extra_trees,regression,"{""n_estimators"": 430, ""max_depth"": 16, ""min_samples_leaf"": 4, ""max_features"": 0.9144342326204491, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6728586554527283,0.16240668777457,0.19111207209007658
lightgbm,binary,"{""n_estimators"": 322, ""learning_rate"": 0.08730627002200078, ""num_leaves"": 118, ""min_child_samples"": 33, ""subsample"": 0.8896251144197834, ""colsample_bytree"": 0.9930134991476717, ""reg_alpha"": 9.450891876196291, ""reg_lambda"": 0.00019724550136685458, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6728259325027466,0.2152974793775024,0.18760607997069823
extra_trees,binary,"{""n_estimators"": 427, ""max_depth"": 17, ""min_samples_leaf"": 9, ""max_features"": 0.9968132253979484, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6723176836967468,0.11533932550107405,0.190921035733641
