n_features,dropped,cost,dev_ndcg,features,tied_with_best,chosen
31,-,-,0.6804957985877991,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
30,zscore_top_dense,lookup,0.6811304092407227,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
29,d_zscore_top,scores,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
28,sigma_k_bm25,scores,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
27,norm_margin_bm25,scores,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
26,smv_bm25,scores,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
25,norm_margin_dense,scores,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
24,d_zscore_margin,scores,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_entropy|d_smv|d_sigma_k,False,False
23,zscore_top_bm25,lookup,0.6813149452209473,ql|query_centroid_cos|top_score_bm25|margin_bm25|entropy_bm25|robust_sigma_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_entropy|d_smv|d_sigma_k,False,False
22,robust_sigma_bm25,scores,0.6813235878944397,ql|query_centroid_cos|top_score_bm25|margin_bm25|entropy_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_entropy|d_smv|d_sigma_k,False,False
