family,framing,params,dev_ndcg,pred_std,corr
reference,oracle,{},0.7406662702560425,0.0,1.0
lightgbm,regression,"{""n_estimators"": 102, ""learning_rate"": 0.03995037004045109, ""num_leaves"": 236, ""min_child_samples"": 46, ""subsample"": 0.7370063974951027, ""colsample_bytree"": 0.9720788623309332, ""reg_alpha"": 8.289968650171444, ""reg_lambda"": 0.001587483695940713, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6820573806762695,0.15610121025555648,0.26341636386496947
hist_gbdt,multibin,"{""max_iter"": 286, ""learning_rate"": 0.010206070557576998, ""max_leaf_nodes"": 64, ""min_samples_leaf"": 73, ""l2_regularization"": 7.162524471389176, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6819192171096802,0.1647173276980337,0.25528775862832104
lightgbm,multibin,"{""n_estimators"": 117, ""learning_rate"": 0.04717561127788163, ""num_leaves"": 251, ""min_child_samples"": 47, ""subsample"": 0.7267340845030492, ""colsample_bytree"": 0.9987349142404867, ""reg_alpha"": 2.040571446921498, ""reg_lambda"": 0.003280146697757007, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6818325519561768,0.1537098347215229,0.2684624998700053
random_forest,multibin,"{""n_estimators"": 125, ""max_depth"": 9, ""min_samples_leaf"": 5, ""max_features"": 0.32471105848013626, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6817160248756409,0.17127884985975986,0.23239174656703054
xgboost,multibin,"{""n_estimators"": 124, ""learning_rate"": 0.11795461483860593, ""max_depth"": 4, ""min_child_weight"": 1.5405318978644467, ""subsample"": 0.6632570684838985, ""colsample_bytree"": 0.8191284702851646, ""gamma"": 3.4213225573042876e-05, ""reg_alpha"": 8.346314881031567, ""reg_lambda"": 0.0035116551645864736, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.681614339351654,0.17142916763094898,0.26241944049502786
elasticnet,regression,"{""alpha"": 0.00013935289747543078, ""l1_ratio"": 0.3969157469179834, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6814189553260803,0.14604750167825784,0.27967479716935334
logreg,multibin,"{""penalty"": ""l2"", ""C"": 0.013973549135964795, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6813626289367676,0.15552261324403002,0.257685012032705
xgboost,regression,"{""n_estimators"": 131, ""learning_rate"": 0.027259108808768105, ""max_depth"": 4, ""min_child_weight"": 3.552237559702275, ""subsample"": 0.8363415522308838, ""colsample_bytree"": 0.9436377946664403, ""gamma"": 1.2199380906127596e-06, ""reg_alpha"": 0.17069145263199548, ""reg_lambda"": 0.011363498562470464, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6811802387237549,0.15194276744209947,0.24645563002397783
extra_trees,multibin,"{""n_estimators"": 572, ""max_depth"": 23, ""min_samples_leaf"": 6, ""max_features"": 0.9762598017262829, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6809889078140259,0.1615779413102549,0.24916752771144704
random_forest,regression,"{""n_estimators"": 158, ""max_depth"": 25, ""min_samples_leaf"": 17, ""max_features"": 0.725329241458127, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.680949330329895,0.16182615446985033,0.26466655629959
extra_trees,regression,"{""n_estimators"": 189, ""max_depth"": 12, ""min_samples_leaf"": 11, ""max_features"": 0.31273937997981016, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6809378266334534,0.1581349454780558,0.24631354124143137
hist_gbdt,regression,"{""max_iter"": 299, ""learning_rate"": 0.01607123851203988, ""max_leaf_nodes"": 34, ""min_samples_leaf"": 40, ""l2_regularization"": 0.00012724181576752517, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.680422306060791,0.16053829348817278,0.255250367865449
logreg,binary,"{""penalty"": ""l1"", ""C"": 4.117205574336915, ""use_sample_weight"": true, ""scaler"": ""robust"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6799687147140503,0.14995643036563222,0.30131267245696547
xgboost,binary,"{""n_estimators"": 417, ""learning_rate"": 0.011167737227881601, ""max_depth"": 4, ""min_child_weight"": 1.3906178526768975, ""subsample"": 0.6437476001425966, ""colsample_bytree"": 0.6912164765107645, ""gamma"": 1.100868059156665e-06, ""reg_alpha"": 0.002755136273677248, ""reg_lambda"": 0.9195141488911982, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6798484325408936,0.1636011759207195,0.27552019570176617
lightgbm,binary,"{""n_estimators"": 419, ""learning_rate"": 0.011655386414404622, ""num_leaves"": 163, ""min_child_samples"": 33, ""subsample"": 0.8802489778678998, ""colsample_bytree"": 0.9987349142404867, ""reg_alpha"": 5.4127534327324, ""reg_lambda"": 6.813677358833845e-05, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6796773076057434,0.15720906197243065,0.26760878652399583
hist_gbdt,binary,"{""max_iter"": 297, ""learning_rate"": 0.0178601378893971, ""max_leaf_nodes"": 17, ""min_samples_leaf"": 96, ""l2_regularization"": 4.905556676028774, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6792648434638977,0.15750333082654114,0.27177763919462744
extra_trees,binary,"{""n_estimators"": 595, ""max_depth"": 19, ""min_samples_leaf"": 19, ""max_features"": 0.39643224666266474, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6791461110115051,0.16501899740422946,0.255175319004707
random_forest,binary,"{""n_estimators"": 461, ""max_depth"": 25, ""min_samples_leaf"": 16, ""max_features"": 0.8065788936104591, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.678678035736084,0.16666820218743336,0.2690841630785428
reference,constant_alpha,"{""alpha"": 0.8399999737739563}",0.6692682504653931,0.0,0.0
