n_features,dropped,cost,dev_ndcg,features,tied_with_best,chosen
31,-,-,0.6953386068344116,ql|query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,False,False
30,ql,lookup,0.6970874667167664,query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|jaccard|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
29,jaccard,scores,0.697356641292572,query_centroid_cos|top_score_bm25|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
28,top_score_bm25,scores,0.697369396686554,query_centroid_cos|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_smv|d_sigma_k,True,False
27,d_smv,lookup,0.6973851919174194,query_centroid_cos|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|autocorr_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
26,autocorr_bm25,embed,0.6973851919174194,query_centroid_cos|sigma_k_bm25|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
25,sigma_k_bm25,scores,0.6973851919174194,query_centroid_cos|margin_bm25|norm_margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
24,norm_margin_bm25,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|sigma_k_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
23,sigma_k_dense,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|margin_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
22,margin_dense,scores,0.6973851919174194,query_centroid_cos|margin_bm25|smv_bm25|entropy_bm25|robust_sigma_bm25|zscore_top_bm25|zscore_margin_bm25|apair_ratio_bm25|top_score_dense|norm_margin_dense|smv_dense|entropy_dense|robust_sigma_dense|zscore_top_dense|zscore_margin_dense|autocorr_dense|apair_ratio_dense|kendall_tau|d_zscore_top|d_zscore_margin|d_entropy|d_sigma_k,True,False
