family,framing,params,dev_ndcg,pred_std,corr
reference,oracle,{},0.7387694716453552,0.0,1.0
lightgbm,regression,"{""n_estimators"": 150, ""learning_rate"": 0.11501465311248797, ""num_leaves"": 203, ""min_child_samples"": 55, ""subsample"": 0.7104739116389088, ""colsample_bytree"": 0.8967230268613584, ""reg_alpha"": 8.887072695300569, ""reg_lambda"": 0.4266981694529739, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6974539756774902,0.08946867598934248,0.22209344493130265
elasticnet,regression,"{""alpha"": 0.0017670169402947942, ""l1_ratio"": 0.9507143064099162, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6969076991081238,0.08362873942065846,0.2552656042977438
xgboost,multibin,"{""n_estimators"": 127, ""learning_rate"": 0.03193144174213447, ""max_depth"": 5, ""min_child_weight"": 13.607763845204099, ""subsample"": 0.7138934279243965, ""colsample_bytree"": 0.5616495799779004, ""gamma"": 1.102314448969244e-08, ""reg_alpha"": 0.00015394687362150084, ""reg_lambda"": 4.7538087072277776e-07, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6968356370925903,0.08573191451709236,0.2071766551493538
random_forest,multibin,"{""n_estimators"": 189, ""max_depth"": 12, ""min_samples_leaf"": 11, ""max_features"": 0.31273937997981016, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6967503428459167,0.08072293432047563,0.19970112631911846
extra_trees,multibin,"{""n_estimators"": 427, ""max_depth"": 17, ""min_samples_leaf"": 9, ""max_features"": 0.9968132253979484, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6967410445213318,0.07762865141721297,0.20995637184464808
logreg,multibin,"{""penalty"": ""l1"", ""C"": 0.012480892453248226, ""use_sample_weight"": true, ""scaler"": ""standard"", ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6967350840568542,0.0989178561288667,0.11326238874234816
lightgbm,multibin,"{""n_estimators"": 107, ""learning_rate"": 0.0387730059864217, ""num_leaves"": 234, ""min_child_samples"": 42, ""subsample"": 0.7326470057790305, ""colsample_bytree"": 0.9538323976412588, ""reg_alpha"": 4.344469108550396, ""reg_lambda"": 0.004137630881036838, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6965469121932983,0.07875086043136958,0.21215454232380065
extra_trees,regression,"{""n_estimators"": 125, ""max_depth"": 17, ""min_samples_leaf"": 5, ""max_features"": 0.3227534407521668, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6965368986129761,0.08463585595781865,0.21061668385611537
hist_gbdt,multibin,"{""max_iter"": 123, ""learning_rate"": 0.031381695570992706, ""max_leaf_nodes"": 45, ""min_samples_leaf"": 89, ""l2_regularization"": 1.3289442357987038, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6962483525276184,0.08217285451123119,0.21028838568932173
extra_trees,binary,"{""n_estimators"": 153, ""max_depth"": 5, ""min_samples_leaf"": 18, ""max_features"": 0.7580345898287479, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6961459517478943,0.07701618393091,0.1808908599013962
random_forest,regression,"{""n_estimators"": 504, ""max_depth"": 16, ""min_samples_leaf"": 9, ""max_features"": 0.2367760362308767, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 10}",0.6959800720214844,0.07755366191565241,0.2200968198028021
xgboost,regression,"{""n_estimators"": 455, ""learning_rate"": 0.0969828631403796, ""max_depth"": 5, ""min_child_weight"": 7.691213273507473, ""subsample"": 0.7391158585191419, ""colsample_bytree"": 0.8177238270085555, ""gamma"": 1.4251803483518652, ""reg_alpha"": 0.0055507356943991166, ""reg_lambda"": 0.0011660110576708648, ""use_sample_weight"": true, ""decision_rule"": ""calibrated"", ""n_calib_bins"": 20}",0.6957799196243286,0.09052593002445497,0.15495746602254962
